chrom	start_peak	end_peak	name_peak	start_gene	end_gene	gene_id	gene_name	strand_gene	gene_type	transcript_id	transcript_type	transcript_support	distance	sbs1_motif	sbs2_motif	sbs1_and_sbs2_motif
chr1	55130762	55131663	ZFP143_conserved_14	55131231	55154899	ENSMUSG00000025979.13	Mob4	+	protein_coding	ENSMUST00000162364.7	protein_coding	1	19	1	0	0
chr1	58973109	58973908	ZFP143_conserved_15	58900449	58973430	ENSMUSG00000026028.12	Trak2	-	protein_coding	ENSMUST00000027186.11	protein_coding	1	78	1	1	1
chr1	58973109	58973908	ZFP143_conserved_15	58973522	58995715	ENSMUSG00000026027.13	Stradb	+	protein_coding	ENSMUST00000027185.10	protein_coding	1	14	1	0	0
chr1	59684789	59685388	ZFP143_conserved_16	59685009	59719044	ENSMUSG00000026020.9	Nop58	+	protein_coding	ENSMUST00000191142.6	protein_coding	1	79	1	1	1
chr1	60097631	60098640	ZFP143_conserved_17	60076868	60098146	ENSMUSG00000026019.15	Wdr12	-	protein_coding	ENSMUST00000122038.7	protein_coding	1	11	1	1	1
chr1	60097631	60098640	ZFP143_conserved_17	60098264	60125977	ENSMUSG00000026017.13	Carf	+	protein_coding	ENSMUST00000124986.7	protein_coding	3	129	1	1	1
chr1	74284097	74285216	ZFP143_conserved_21	74279840	74284738	ENSMUSG00000006299.13	Aamp	-	protein_coding	ENSMUST00000006462.13	protein_coding	1	82	1	1	1
chr1	74284097	74285216	ZFP143_conserved_21	74284930	74287454	ENSMUSG00000026179.14	Pnkd	+	protein_coding	ENSMUST00000113805.7	protein_coding	1	274	0	1	0
chr1	74661260	74662119	ZFP143_conserved_22	74661745	74703730	ENSMUSG00000033257.14	Ttll4	+	protein_coding	ENSMUST00000042125.14	protein_coding	1	56	1	1	1
chr1	75236150	75236861	ZFP143_conserved_24	75236487	75245690	ENSMUSG00000026203.16	Dnajb2	+	protein_coding	ENSMUST00000188290.6	protein_coding	1	18	1	1	1
chr1	75435711	75436145	ZFP143_conserved_25	75435930	75443174	ENSMUSG00000033021.16	Gmppa	+	protein_coding	ENSMUST00000037796.13	protein_coding	1	2	1	1	1
chr1	79671712	79672327	ZFP143_conserved_26	79606876	79671972	ENSMUSG00000054702.14	Ap1s3	-	protein_coding	ENSMUST00000162342.7	protein_coding	1	47	0	0	0
chr1	86154492	86155025	ZFP143_conserved_27	86154798	86276697	ENSMUSG00000062590.13	Armc9	+	protein_coding	ENSMUST00000113309.8	protein_coding	1	40	1	0	0
chr1	88008041	88008867	ZFP143_conserved_28	87946443	88008534	ENSMUSG00000005501.14	Usp40	-	protein_coding	ENSMUST00000187758.6	protein_coding	1	80	1	0	0
chr1	89454440	89455018	ZFP143_conserved_29	89454806	89897617	ENSMUSG00000055013.16	Agap1	+	protein_coding	ENSMUST00000027521.14	protein_coding	1	77	1	1	1
chr1	91398524	91399168	ZFP143_conserved_30	91381039	91398815	ENSMUSG00000026309.14	Ilkap	-	protein_coding	ENSMUST00000191230.6	processed_transcript	1	31	0	0	0
chr1	91494457	91494890	ZFP143_conserved_31	91494694	91529307	ENSMUSG00000034292.13	Traf3ip1	+	protein_coding	ENSMUST00000047242.8	protein_coding	1	21	0	0	0
chr1	92934142	92934863	ZFP143_conserved_32	92934376	92947941	ENSMUSG00000026270.11	Capn10	+	protein_coding	ENSMUST00000027488.10	protein_coding	1	126	0	0	0
chr1	93342687	93343771	ZFP143_conserved_33	93308778	93342789	ENSMUSG00000026274.11	Pask	-	protein_coding	ENSMUST00000027493.3	protein_coding	1	440	0	0	0
chr1	93342687	93343771	ZFP143_conserved_33	93342854	93373489	ENSMUSG00000026275.13	Ppp1r7	+	protein_coding	ENSMUST00000027494.10	protein_coding	1	375	1	1	1
chr1	93635338	93636085	ZFP143_conserved_34	93619751	93635722	ENSMUSG00000026277.14	Stk25	-	protein_coding	ENSMUST00000027498.13	protein_coding	1	11	1	1	1
chr1	106171196	106171887	ZFP143_conserved_35	106152625	106171524	ENSMUSG00000101583.1	Gm20753	-	lincRNA	ENSMUST00000190105.1	lincRNA	1	17	0	1	0
chr1	106171196	106171887	ZFP143_conserved_35	106171752	106394250	ENSMUSG00000044340.7	Phlpp1	+	protein_coding	ENSMUST00000061047.6	protein_coding	1	211	1	1	1
chr1	106796384	106796930	ZFP143_conserved_36	106764071	106796667	ENSMUSG00000009907.17	Vps4b	-	protein_coding	ENSMUST00000112736.7	protein_coding	1	10	0	0	0
chr1	119912999	119913382	ZFP143_conserved_38	119907890	119913208	ENSMUSG00000036975.5	Tmem177	-	protein_coding	ENSMUST00000037906.5	protein_coding	1	18	0	0	0
chr1	120120804	120121450	ZFP143_conserved_39	120113280	120121078	ENSMUSG00000026385.16	Dbi	-	protein_coding	ENSMUST00000027634.12	protein_coding	1	49	1	0	0
chr1	120120804	120121450	ZFP143_conserved_39	120121187	120188189	ENSMUSG00000026388.15	3110009E18Rik	+	protein_coding	ENSMUST00000027637.12	protein_coding	1	60	0	0	0
chr1	127773707	127774348	ZFP143_conserved_40	127753616	127774054	ENSMUSG00000102014.1	2900009J06Rik	-	antisense	ENSMUST00000188163.1	antisense	1	27	1	0	0
chr1	127773707	127774348	ZFP143_conserved_40	127774164	127808061	ENSMUSG00000026349.14	Ccnt2	+	protein_coding	ENSMUST00000027587.14	protein_coding	1	137	1	0	0
chr1	127868583	127869311	ZFP143_conserved_41	127868789	127882448	ENSMUSG00000036104.12	Rab3gap1	+	protein_coding	ENSMUST00000186865.6	processed_transcript	1	158	1	0	0
chr1	128102349	128103737	ZFP143_conserved_42	127987110	128103047	ENSMUSG00000036086.16	Zranb3	-	protein_coding	ENSMUST00000097597.6	processed_transcript	1	4	1	1	1
chr1	128102349	128103737	ZFP143_conserved_42	128103321	128179129	ENSMUSG00000056211.13	R3hdm1	+	protein_coding	ENSMUST00000188381.6	protein_coding	1	278	0	1	0
chr1	128243881	128244588	ZFP143_conserved_43	128244162	128279378	ENSMUSG00000026353.9	Ubxn4	+	protein_coding	ENSMUST00000027592.5	protein_coding	1	72	1	1	1
chr1	132417182	132418047	ZFP143_conserved_44	132417555	132466958	ENSMUSG00000042046.15	Dstyk	+	protein_coding	ENSMUST00000045110.13	protein_coding	1	59	1	1	1
chr1	133609903	133610480	ZFP143_conserved_45	133603871	133610291	ENSMUSG00000090553.8	Snrpe	-	protein_coding	ENSMUST00000166915.7	protein_coding	1	100	1	0	0
chr1	134955686	134956323	ZFP143_conserved_46	134947943	134955942	ENSMUSG00000073557.12	Ppp1r12b	-	protein_coding	ENSMUST00000112163.1	protein_coding	1	62	1	1	1
chr1	136624572	136625185	ZFP143_conserved_47	136622098	136624650	ENSMUSG00000097229.1	Platr23	-	lincRNA	ENSMUST00000180797.1	lincRNA	1	228	1	0	0
chr1	136624572	136625185	ZFP143_conserved_47	136624901	136630053	ENSMUSG00000041483.14	Zfp281	+	protein_coding	ENSMUST00000047734.14	protein_coding	1	23	1	0	0
chr1	143776833	143777499	ZFP143_conserved_48	143750790	143777068	ENSMUSG00000018199.9	Ro60	-	protein_coding	ENSMUST00000159879.1	protein_coding	1	98	1	0	0
chr1	143776833	143777499	ZFP143_conserved_48	143777272	143807305	ENSMUSG00000018189.12	Uchl5	+	protein_coding	ENSMUST00000189936.6	protein_coding	1	106	0	0	0
chr1	150392633	150393715	ZFP143_conserved_49	150361305	150393080	ENSMUSG00000006010.14	Odr4	-	protein_coding	ENSMUST00000111913.8	protein_coding	5	94	1	0	0
chr1	150392633	150393715	ZFP143_conserved_49	150392838	150449815	ENSMUSG00000006005.18	Tpr	+	protein_coding	ENSMUST00000124973.8	protein_coding	1	336	1	1	1
chr1	151428135	151428865	ZFP143_conserved_50	151367699	151428455	ENSMUSG00000052748.14	Swt1	-	protein_coding	ENSMUST00000064771.11	protein_coding	1	45	1	1	1
chr1	151428135	151428865	ZFP143_conserved_50	151428542	151458161	ENSMUSG00000053286.11	Trmt1l	+	protein_coding	ENSMUST00000065625.11	protein_coding	1	42	1	0	0
chr1	151754839	151755641	ZFP143_conserved_51	151748949	151755018	ENSMUSG00000100594.1	2810414N06Rik	-	lincRNA	ENSMUST00000186444.1	lincRNA	2	222	1	1	1
chr1	151754839	151755641	ZFP143_conserved_51	151755374	151822051	ENSMUSG00000043019.12	Edem3	+	protein_coding	ENSMUST00000059498.11	protein_coding	1	134	1	1	1
chr1	153331774	153334023	ZFP143_conserved_52	153218922	153332786	ENSMUSG00000026478.14	Lamc1	-	protein_coding	ENSMUST00000027752.14	protein_coding	1	112	1	0	0
chr1	155972951	155973948	ZFP143_conserved_53	155935870	155972890	ENSMUSG00000033671.18	Cep350	-	protein_coding	ENSMUST00000124495.2	protein_coding	1	559	1	0	0
chr1	161070367	161071249	ZFP143_conserved_54	161040601	161070658	ENSMUSG00000026709.10	Dars2	-	protein_coding	ENSMUST00000035430.3	protein_coding	1	150	1	0	0
chr1	161070367	161071249	ZFP143_conserved_54	161070767	161086338	ENSMUSG00000026708.16	Cenpl	+	protein_coding	ENSMUST00000111620.9	protein_coding	1	41	0	0	0
chr1	161876536	161877405	ZFP143_conserved_55	161816114	161876682	ENSMUSG00000040297.12	Suco	-	protein_coding	ENSMUST00000048377.10	protein_coding	1	288	0	1	0
chr1	163994496	163995048	ZFP143_conserved_56	163945993	163994796	ENSMUSG00000041406.14	BC055324	-	protein_coding	ENSMUST00000097493.9	protein_coding	1	24	0	0	0
chr1	163994496	163995048	ZFP143_conserved_56	163994889	163997243	ENSMUSG00000041396.13	Mettl18	+	protein_coding	ENSMUST00000045694.13	protein_coding	1	117	1	1	1
chr1	164248479	164249251	ZFP143_conserved_57	164249046	164265385	ENSMUSG00000040918.12	Slc19a2	+	protein_coding	ENSMUST00000044021.11	protein_coding	1	181	1	0	0
chr1	172481635	172482320	ZFP143_conserved_59	172482215	172498877	ENSMUSG00000037995.15	Igsf9	+	protein_coding	ENSMUST00000052629.12	protein_coding	1	238	1	1	1
chr1	176814108	176815106	ZFP143_conserved_60	176778393	176814067	ENSMUSG00000057335.11	Cep170	-	protein_coding	ENSMUST00000192961.5	protein_coding	1	540	1	1	1
chr1	176814108	176815106	ZFP143_conserved_60	176814660	177020437	ENSMUSG00000026504.17	Sdccag8	+	protein_coding	ENSMUST00000027785.14	protein_coding	1	53	1	1	1
chr1	177796144	177797032	ZFP143_conserved_61	177762962	177796511	ENSMUSG00000015961.8	Adss	-	protein_coding	ENSMUST00000016105.8	protein_coding	1	77	0	0	0
chr1	178187084	178187783	ZFP143_conserved_63	178187417	178250901	ENSMUSG00000026502.13	Desi2	+	protein_coding	ENSMUST00000161075.7	protein_coding	1	16	0	0	0
chr1	179803360	179804098	ZFP143_conserved_64	179744894	179803680	ENSMUSG00000026491.13	Ahctf1	-	protein_coding	ENSMUST00000027768.13	protein_coding	1	49	0	0	0
chr1	181144057	181144508	ZFP143_conserved_65	181087138	181144204	ENSMUSG00000026516.8	Nvl	-	protein_coding	ENSMUST00000027797.8	protein_coding	1	78	0	0	0
chr1	181144057	181144508	ZFP143_conserved_65	181144693	181166248	ENSMUSG00000062169.13	Cnih4	+	protein_coding	ENSMUST00000193907.5	protein_coding	2	411	0	0	0
chr1	190928274	190929116	ZFP143_conserved_66	190928846	190946962	ENSMUSG00000026634.16	Angel2	+	protein_coding	ENSMUST00000144693.1	processed_transcript	1	151	1	0	0
chr1	191325591	191326217	ZFP143_conserved_67	191325912	191350914	ENSMUSG00000026627.7	Pacc1	+	protein_coding	ENSMUST00000027940.5	protein_coding	1	8	1	1	1
chr1	195131056	195131757	ZFP143_conserved_68	195097382	195131344	ENSMUSG00000016481.15	Cr1l	-	protein_coding	ENSMUST00000193094.5	protein_coding	1	62	1	0	0
chr10	7662872	7663601	ZFP143_conserved_70	7637730	7663261	ENSMUSG00000019795.17	Pcmt1	-	protein_coding	ENSMUST00000163085.7	protein_coding	1	25	0	0	0
chr10	7680885	7681382	ZFP143_conserved_71	7681214	7716460	ENSMUSG00000040021.13	Lats1	+	protein_coding	ENSMUST00000165952.8	protein_coding	1	81	0	0	0
chr10	18234801	18235516	ZFP143_conserved_73	18213676	18234996	ENSMUSG00000059554.12	Ccdc28a	-	protein_coding	ENSMUST00000080860.12	protein_coding	1	162	0	0	0
chr10	18234801	18235516	ZFP143_conserved_73	18235053	18238060	ENSMUSG00000096977.2	Gm10827	+	lincRNA	ENSMUST00000181897.1	lincRNA	1	105	1	1	1
chr10	20311788	20313074	ZFP143_conserved_74	20312469	20342501	ENSMUSG00000037608.16	Bclaf1	+	protein_coding	ENSMUST00000092678.9	protein_coding	1	38	1	1	1
chr10	40348707	40349553	ZFP143_conserved_75	40349308	40483818	ENSMUSG00000038481.13	Cdk19	+	protein_coding	ENSMUST00000044672.10	protein_coding	1	178	1	1	1
chr10	40348707	40349553	ZFP143_conserved_75	40348508	40350103	ENSMUSG00000038491.9	Cdk19os	-	antisense	ENSMUST00000143103.1	antisense	1	973	1	1	1
chr10	40882892	40883908	ZFP143_conserved_76	40831621	40883311	ENSMUSG00000038446.8	Cdc40	-	protein_coding	ENSMUST00000044166.8	protein_coding	1	89	1	1	1
chr10	40882892	40883908	ZFP143_conserved_76	40883475	40938569	ENSMUSG00000019831.14	Wasf1	+	protein_coding	ENSMUST00000019975.13	protein_coding	1	75	1	0	0
chr10	41809421	41810535	ZFP143_conserved_77	41719225	41809871	ENSMUSG00000019813.16	Cep57l1	-	protein_coding	ENSMUST00000187143.6	protein_coding	1	107	1	1	1
chr10	41809421	41810535	ZFP143_conserved_77	41809935	41908424	ENSMUSG00000038332.13	Sesn1	+	protein_coding	ENSMUST00000099931.10	protein_coding	1	43	1	1	1
chr10	42478238	42478800	ZFP143_conserved_78	42312585	42478565	ENSMUSG00000038302.14	Afg1l	-	protein_coding	ENSMUST00000041024.14	protein_coding	1	46	0	0	0
chr10	42501667	42502730	ZFP143_conserved_79	42502031	42535370	ENSMUSG00000019804.12	Snx3	+	protein_coding	ENSMUST00000019939.11	protein_coding	1	167	1	0	0
chr10	59702346	59702879	ZFP143_conserved_80	59702618	59864130	ENSMUSG00000020111.15	Micu1	+	protein_coding	ENSMUST00000179709.7	protein_coding	1	6	1	0	0
chr10	59879348	59880330	ZFP143_conserved_81	59879626	59898521	ENSMUSG00000020109.13	Dnajb12	+	protein_coding	ENSMUST00000020309.6	protein_coding	1	213	1	1	1
chr10	62650969	62651728	ZFP143_conserved_82	62616015	62651218	ENSMUSG00000020076.7	Ddx50	-	protein_coding	ENSMUST00000020270.5	protein_coding	1	130	1	0	0
chr10	63382625	63383021	ZFP143_conserved_83	63319005	63381704	ENSMUSG00000020063.16	Sirt1	-	protein_coding	ENSMUST00000120239.7	protein_coding	5	1119	1	1	1
chr10	63386363	63386712	ZFP143_conserved_84	63386563	63410576	ENSMUSG00000036764.12	Dnajc12	+	protein_coding	ENSMUST00000043317.6	protein_coding	1	26	1	1	1
chr10	71237727	71238264	ZFP143_conserved_86	71225464	71238280	ENSMUSG00000003923.14	Tfam	-	protein_coding	ENSMUST00000092430.10	protein_coding	1	285	1	0	0
chr10	75517126	75518228	ZFP143_conserved_87	75506825	75517972	ENSMUSG00000033416.15	Gucd1	-	protein_coding	ENSMUST00000118936.7	protein_coding	1	295	1	0	0
chr10	75517126	75518228	ZFP143_conserved_87	75517551	75537381	ENSMUSG00000020180.10	Snrpd3	+	protein_coding	ENSMUST00000020397.10	protein_coding	1	126	1	0	0
chr10	75764061	75764662	ZFP143_conserved_88	75754853	75764270	ENSMUSG00000020196.10	Cabin1	-	protein_coding	ENSMUST00000218469.1	protein_coding	3	91	0	0	0
chr10	75837155	75837648	ZFP143_conserved_89	75831114	75837367	ENSMUSG00000033318.7	Gstt2	-	protein_coding	ENSMUST00000220440.1	protein_coding	5	34	1	1	1
chr10	77033038	77033708	ZFP143_conserved_90	77033268	77046268	ENSMUSG00000001436.15	Slc19a1	+	protein_coding	ENSMUST00000136925.7	protein_coding	1	105	1	0	0
chr10	79669185	79670111	ZFP143_conserved_91	79669369	79676127	ENSMUSG00000020308.7	Tpgs1	+	protein_coding	ENSMUST00000020552.7	protein_coding	1	279	1	1	1
chr10	79681625	79682247	ZFP143_conserved_92	79682195	79688398	ENSMUSG00000020307.15	Cdc34	+	protein_coding	ENSMUST00000020550.12	protein_coding	1	259	1	1	1
chr10	79746388	79746898	ZFP143_conserved_93	79736130	79746581	ENSMUSG00000020329.12	Polrmt	-	protein_coding	ENSMUST00000159016.7	protein_coding	1	62	1	1	1
chr10	79908522	79909318	ZFP143_conserved_94	79894708	79908921	ENSMUSG00000013833.15	Med16	-	protein_coding	ENSMUST00000105378.8	protein_coding	1	1	1	0	0
chr10	79959920	79960380	ZFP143_conserved_95	79960152	79970203	ENSMUSG00000035754.8	Wdr18	+	protein_coding	ENSMUST00000045247.8	protein_coding	1	2	0	0	0
chr10	79984142	79985689	ZFP143_conserved_96	79977118	79984330	ENSMUSG00000013858.14	Tmem259	-	protein_coding	ENSMUST00000052885.13	protein_coding	1	585	1	0	0
chr10	80142018	80142579	ZFP143_conserved_97	80137347	80140835	ENSMUSG00000035640.18	Cbarp	-	protein_coding	ENSMUST00000142853.2	protein_coding	2	1463	0	0	0
chr10	80142018	80142579	ZFP143_conserved_97	80142315	80145818	ENSMUSG00000003072.15	Atp5d	+	protein_coding	ENSMUST00000003156.14	protein_coding	1	17	1	1	1
chr10	80264543	80265260	ZFP143_conserved_98	80264984	80288408	ENSMUSG00000069565.12	Dazap1	+	protein_coding	ENSMUST00000105362.7	protein_coding	1	83	0	1	0
chr10	80398694	80400002	ZFP143_conserved_99	80392539	80399550	ENSMUSG00000035478.14	Mbd3	-	protein_coding	ENSMUST00000092295.9	protein_coding	1	202	1	0	0
chr10	80561348	80561878	ZFP143_conserved_100	80540925	80561560	ENSMUSG00000047417.18	Rexo1	-	protein_coding	ENSMUST00000057910.15	protein_coding	1	53	1	0	0
chr10	80602596	80603250	ZFP143_conserved_101	80602957	80614963	ENSMUSG00000113949.1	Scamp4	+	protein_coding	ENSMUST00000180350.2	protein_coding	1	34	1	0	0
chr10	80602596	80603250	ZFP143_conserved_101	80602880	80607654	ENSMUSG00000113640.1	Adat3	+	protein_coding	ENSMUST00000038411.4	protein_coding	2	43	1	0	0
chr10	80900417	80901328	ZFP143_conserved_102	80899450	80900969	ENSMUSG00000020219.7	Timm13	-	protein_coding	ENSMUST00000020440.6	protein_coding	1	97	1	1	1
chr10	81137182	81138042	ZFP143_conserved_103	81137953	81148458	ENSMUSG00000035011.15	Zbtb7a	+	protein_coding	ENSMUST00000117956.1	protein_coding	1	341	1	1	1
chr10	81266642	81267161	ZFP143_conserved_104	81264713	81266934	ENSMUSG00000034932.4	Mrpl54	-	protein_coding	ENSMUST00000046114.4	protein_coding	1	33	1	1	1
chr10	81266642	81267161	ZFP143_conserved_104	81268172	81273246	ENSMUSG00000004931.11	Apba3	+	protein_coding	ENSMUST00000057798.8	protein_coding	1	1271	1	0	0
chr10	81377993	81379002	ZFP143_conserved_105	81366222	81378516	ENSMUSG00000020235.16	Fzr1	-	protein_coding	ENSMUST00000140901.7	protein_coding	1	19	1	1	1
chr10	81496198	81497103	ZFP143_conserved_106	81486249	81496392	ENSMUSG00000020238.14	Ncln	-	protein_coding	ENSMUST00000020463.13	protein_coding	1	258	1	1	1
chr10	81544749	81545628	ZFP143_conserved_107	81528724	81545190	ENSMUSG00000034781.5	Gna11	-	protein_coding	ENSMUST00000043604.5	protein_coding	1	2	1	0	0
chr10	81627198	81627905	ZFP143_conserved_108	81621785	81627320	ENSMUSG00000034748.16	Sirt6	-	protein_coding	ENSMUST00000119324.7	protein_coding	1	231	0	0	0
chr10	81627198	81627905	ZFP143_conserved_108	81628540	81638300	ENSMUSG00000054708.17	Ankrd24	+	protein_coding	ENSMUST00000123896.7	protein_coding	2	989	1	0	0
chr10	82629516	82630340	ZFP143_conserved_109	82629876	82641322	ENSMUSG00000034674.18	Tdg	+	protein_coding	ENSMUST00000133227.1	processed_transcript	1	52	1	1	1
chr10	82698853	82699485	ZFP143_conserved_110	82699007	82742428	ENSMUSG00000020246.13	Hcfc2	+	protein_coding	ENSMUST00000020478.13	protein_coding	5	162	1	0	0
chr10	83543692	83544168	ZFP143_conserved_111	83543941	83596473	ENSMUSG00000034560.6	Washc4	+	protein_coding	ENSMUST00000038388.6	protein_coding	5	11	1	0	0
chr10	84916963	84917675	ZFP143_conserved_112	84917616	85016447	ENSMUSG00000035620.15	Ric8b	+	protein_coding	ENSMUST00000038523.14	protein_coding	1	297	1	1	1
chr10	86705259	86706600	ZFP143_conserved_113	86690840	86705509	ENSMUSG00000020048.13	Hsp90b1	-	protein_coding	ENSMUST00000020238.13	protein_coding	1	420	1	1	1
chr10	86705259	86706600	ZFP143_conserved_113	86705844	86724567	ENSMUSG00000044937.15	Ttc41	+	protein_coding	ENSMUST00000061458.8	protein_coding	1	85	1	1	1
chr10	88200872	88201365	ZFP143_conserved_114	88201093	88246158	ENSMUSG00000020056.16	Washc3	+	protein_coding	ENSMUST00000020248.15	protein_coding	1	25	1	1	1
chr10	93452899	93453664	ZFP143_conserved_115	93453411	93484874	ENSMUSG00000015889.8	Lta4h	+	protein_coding	ENSMUST00000016033.8	protein_coding	1	130	1	0	0
chr10	93889438	93890088	ZFP143_conserved_116	93860929	93889775	ENSMUSG00000036112.15	Metap2	-	protein_coding	ENSMUST00000181091.7	protein_coding	1	12	1	0	0
chr10	94035532	94036210	ZFP143_conserved_117	93961522	94035817	ENSMUSG00000036099.16	Vezt	-	protein_coding	ENSMUST00000119818.7	protein_coding	1	54	1	1	1
chr10	94035532	94036210	ZFP143_conserved_117	94036001	94145339	ENSMUSG00000020021.4	Fgd6	+	protein_coding	ENSMUST00000020208.4	protein_coding	1	130	1	1	1
chr10	95514706	95515441	ZFP143_conserved_118	95515145	95545657	ENSMUSG00000074781.5	Ube2n	+	protein_coding	ENSMUST00000099329.4	protein_coding	1	72	0	1	0
chr10	100487107	100487750	ZFP143_conserved_119	100443902	100487350	ENSMUSG00000036676.14	Tmtc3	-	protein_coding	ENSMUST00000058154.14	protein_coding	1	78	1	1	1
chr10	100487107	100487750	ZFP143_conserved_119	100487558	100573655	ENSMUSG00000019971.10	Cep290	+	protein_coding	ENSMUST00000220346.1	protein_coding	5	130	1	1	1
chr10	100589057	100589581	ZFP143_conserved_120	100572265	100589395	ENSMUSG00000046567.10	4930430F08Rik	-	protein_coding	ENSMUST00000054471.9	protein_coding	1	76	1	1	1
chr10	100589057	100589581	ZFP143_conserved_120	100590484	100618143	ENSMUSG00000056912.12	1700017N19Rik	+	protein_coding	ENSMUST00000218464.1	protein_coding	5	1165	0	0	0
chr10	111009640	111010512	ZFP143_conserved_121	110941780	111010066	ENSMUSG00000035798.14	Zdhhc17	-	protein_coding	ENSMUST00000041723.14	protein_coding	1	10	1	1	1
chr10	111972397	111973099	ZFP143_conserved_122	111972664	111988432	ENSMUSG00000063334.16	Krr1	+	protein_coding	ENSMUST00000163048.7	protein_coding	1	84	1	1	1
chr10	115384411	115385151	ZFP143_conserved_123	115368404	115384435	ENSMUSG00000020137.5	Thap2	-	protein_coding	ENSMUST00000218842.1	protein_coding	1	346	1	0	0
chr10	115384411	115385151	ZFP143_conserved_123	115384959	115432772	ENSMUSG00000034163.10	Zfc3h1	+	protein_coding	ENSMUST00000036044.8	protein_coding	1	178	1	1	1
chr10	116581313	116582063	ZFP143_conserved_124	116485787	116581511	ENSMUSG00000020166.15	Cnot2	-	protein_coding	ENSMUST00000169921.7	protein_coding	1	177	1	0	0
chr10	116581313	116582063	ZFP143_conserved_124	116581576	116583514	ENSMUSG00000052291.8	5330438D12Rik	+	processed_transcript	ENSMUST00000219273.1	lincRNA	2	112	1	0	0
chr10	117709918	117711064	ZFP143_conserved_125	117688875	117710758	ENSMUSG00000020184.15	Mdm2	-	protein_coding	ENSMUST00000020408.15	protein_coding	1	267	1	0	0
chr10	119239740	119240838	ZFP143_conserved_126	119199255	119240055	ENSMUSG00000020114.12	Cand1	-	protein_coding	ENSMUST00000020315.12	protein_coding	1	234	1	1	1
