chrom	start_peak	end_peak	name_peak	start_gene	end_gene	gene_id	gene_name	strand_gene	gene_type	transcript_id	transcript_type	transcript_support	distance	rpkm	cpm	sbs1_motif	sbs2_motif	sbs1_and_sbs2_motif
chr1	37997181	37997744	ZFP143_peak_40	37998010	38055579	ENSMUSG00000026083.12	Eif5b	+	protein_coding	ENSMUST00000027252.7	protein_coding	2	548	0.8766603551780427	50.46845998724474	0	0	0
chr1	39367771	39368094	ZFP143_peak_42	39367929	39371365	ENSMUSG00000073702.11	Rpl31	+	protein_coding	ENSMUST00000179954.7	protein_coding	1	3	18.21211112424495	62.57681382290565	1	0	0
chr1	43098497	43098980	ZFP143_peak_43	43047200	43098622	ENSMUSG00000070939.9	Tgfbrap1	-	protein_coding	ENSMUST00000095014.7	protein_coding	1	116	0.15779752602004496	8.114264383002752	1	0	0
chr1	43098497	43098980	ZFP143_peak_43	43098710	43115947	ENSMUSG00000010290.7	AI597479	+	protein_coding	ENSMUST00000010434.7	protein_coding	1	28	0.27300356976898366	4.705762532107971	0	0	0
chr1	44102181	44102715	ZFP143_peak_44	44086860	44102423	ENSMUSG00000026049.11	Tex30	-	protein_coding	ENSMUST00000133677.7	protein_coding	1	25	0.3488338075051699	5.428900546202959	1	0	0
chr1	44118699	44119213	ZFP143_peak_45	44106546	44118808	ENSMUSG00000026047.13	Poglut2	-	protein_coding	ENSMUST00000065767.8	protein_coding	1	148	0.2642563936503569	3.2403118989406767	1	1	1
chr1	44118699	44119213	ZFP143_peak_45	44119162	44144510	ENSMUSG00000041684.11	Bivm	+	protein_coding	ENSMUST00000035991.7	protein_coding	1	206	0.10584276763890148	2.6829024741108745	1	0	0
chr1	54250427	54251019	ZFP143_peak_46	54250683	54368727	ENSMUSG00000025983.11	Ccdc150	+	protein_coding	ENSMUST00000027128.10	protein_coding	1	40	0.009441900036960025	1.1145596479629094	1	1	1
chr1	55027077	55027807	ZFP143_peak_47	54985169	55027481	ENSMUSG00000025982.13	Sf3b1	-	protein_coding	ENSMUST00000027127.13	protein_coding	1	39	1.6393988668464514	69.36624485400705	1	0	0
chr1	55087735	55088130	ZFP143_peak_48	55077835	55088024	ENSMUSG00000025980.14	Hspd1	-	protein_coding	ENSMUST00000027123.14	protein_coding	1	92	7.23230527607172	73.68995845789476	0	0	0
chr1	55087735	55088130	ZFP143_peak_48	55088132	55091307	ENSMUSG00000073676.4	Hspe1	+	protein_coding	ENSMUST00000075242.6	protein_coding	1	200	5.723080836648688	18.170781656359583	1	0	0
chr1	55130915	55131463	ZFP143_peak_49	55131231	55154899	ENSMUSG00000025979.13	Mob4	+	protein_coding	ENSMUST00000162364.7	protein_coding	1	42	0.48050926811942896	11.372693357850643	1	0	0
chr1	58445064	58445513	ZFP143_peak_50	58433787	58445369	ENSMUSG00000026035.15	Ppil3	-	protein_coding	ENSMUST00000114345.8	protein_coding	1	81	0.6018213454785122	6.970294823332128	0	0	0
chr1	58445064	58445513	ZFP143_peak_50	58445151	58463456	ENSMUSG00000026036.17	Nif3l1	+	protein_coding	ENSMUST00000087521.12	protein_coding	1	137	0.6816982139530897	12.478485806411307	0	1	0
chr1	58973110	58973841	ZFP143_peak_51	58900449	58973430	ENSMUSG00000026028.12	Trak2	-	protein_coding	ENSMUST00000027186.11	protein_coding	1	45	0.35881160330699013	26.186429620947443	1	1	1
chr1	58973110	58973841	ZFP143_peak_51	58973522	58995715	ENSMUSG00000026027.13	Stradb	+	protein_coding	ENSMUST00000027185.10	protein_coding	1	47	0.05022122506929704	1.1145596479629094	1	0	0
chr1	59684811	59685197	ZFP143_peak_52	59685009	59719044	ENSMUSG00000026020.9	Nop58	+	protein_coding	ENSMUST00000191142.6	protein_coding	1	5	3.745277098240389	127.47050603861162	1	1	1
chr1	59762837	59763013	ZFP143_peak_53	59763400	59879014	ENSMUSG00000067336.6	Bmpr2	+	protein_coding	ENSMUST00000087435.6	protein_coding	1	475	0.17383581301107776	20.097853685462745	1	0	0
chr1	60097601	60098293	ZFP143_peak_54	60069785	60097908	ENSMUSG00000026019.15	Wdr12	-	protein_coding	ENSMUST00000027173.14	protein_coding	1	39	0.7288004838748132	20.496056008011372	1	1	1
chr1	60097601	60098293	ZFP143_peak_54	60098264	60125977	ENSMUSG00000026017.13	Carf	+	protein_coding	ENSMUST00000124986.7	protein_coding	3	317	0.10904019209612889	3.02183084356002	0	1	0
chr1	72582855	72583615	ZFP143_peak_62	72583251	72633134	ENSMUSG00000039354.16	Smarcal1	+	protein_coding	ENSMUST00000047615.14	protein_coding	1	16	0.4181099130706001	20.856576793700746	1	1	1
chr1	74284664	74285318	ZFP143_peak_64	74279840	74284738	ENSMUSG00000006299.13	Aamp	-	protein_coding	ENSMUST00000006462.13	protein_coding	1	253	1.2860179705985795	6.298916019991841	1	1	1
chr1	74284664	74285318	ZFP143_peak_64	74285045	74353684	ENSMUSG00000026179.14	Pnkd	+	protein_coding	ENSMUST00000027370.12	protein_coding	1	54	0.24329997618377852	16.699867065278376	0	1	0
chr1	74307215	74307428	ZFP143_peak_65	74293910	74305622	ENSMUSG00000006301.17	Tmbim1	-	protein_coding	ENSMUST00000130763.7	protein_coding	3	1699	0.4901173273654863	5.740254138104575	1	0	0
chr1	74661364	74661658	ZFP143_peak_66	74661745	74703730	ENSMUSG00000033257.14	Ttll4	+	protein_coding	ENSMUST00000042125.14	protein_coding	1	234	0.3235991024680128	13.586308317119517	1	1	1
chr1	75236189	75236643	ZFP143_peak_69	75236406	75245688	ENSMUSG00000026203.16	Dnajb2	+	protein_coding	ENSMUST00000188931.6	protein_coding	1	10	0.30420911711687165	2.823669025078803	1	1	1
chr1	75317495	75317696	ZFP143_peak_71	75307896	75317637	ENSMUSG00000026209.15	Dnpep	-	protein_coding	ENSMUST00000066668.13	protein_coding	1	42	0.6203068709642312	6.042409230062576	0	0	0
chr1	75380859	75381145	ZFP143_peak_72	75382114	75404563	ENSMUSG00000026207.16	Speg	+	protein_coding	ENSMUST00000113590.7	protein_coding	1	1112	0.01648666495646633	0.3701091416077127	0	0	0
chr1	75435676	75436187	ZFP143_peak_73	75435930	75443174	ENSMUSG00000033021.16	Gmppa	+	protein_coding	ENSMUST00000037796.13	protein_coding	1	1	0.37063624859641264	2.684888984832413	1	1	1
chr1	86154482	86154908	ZFP143_peak_76	86154798	86276697	ENSMUSG00000062590.13	Armc9	+	protein_coding	ENSMUST00000113309.8	protein_coding	1	103	0.18581016693143287	22.650073538774734	1	0	0
chr1	86582539	86583068	ZFP143_peak_79	86542994	86582547	ENSMUSG00000026239.14	Pde6d	-	protein_coding	ENSMUST00000027444.14	protein_coding	1	256	0.3027631059563063	11.975189129889781	0	0	0
chr1	86582539	86583068	ZFP143_peak_79	86582938	86589293	ENSMUSG00000026240.12	Cops7b	+	protein_coding	ENSMUST00000149542.1	protein_coding	3	135	0.33962129116115514	2.158293305329141	1	1	1
chr1	88008276	88008771	ZFP143_peak_81	87946443	88008534	ENSMUSG00000005501.14	Usp40	-	protein_coding	ENSMUST00000187758.6	protein_coding	1	11	0.21119567302760694	13.113350533957142	1	0	0
chr1	89454368	89454879	ZFP143_peak_82	89454806	89897617	ENSMUSG00000055013.16	Agap1	+	protein_coding	ENSMUST00000027521.14	protein_coding	1	183	0.26919228771230785	119.20130611417474	1	1	1
chr1	91398408	91399040	ZFP143_peak_84	91375831	91398783	ENSMUSG00000026309.14	Ilkap	-	protein_coding	ENSMUST00000027534.12	protein_coding	1	59	0.8779888204487183	20.151599406938985	0	0	0
chr1	91494497	91494896	ZFP143_peak_85	91494694	91529307	ENSMUSG00000034292.13	Traf3ip1	+	protein_coding	ENSMUST00000047242.8	protein_coding	1	2	0.3326158865250005	11.512833680289841	0	0	0
chr1	92934136	92934744	ZFP143_peak_87	92934376	92947941	ENSMUSG00000026270.11	Capn10	+	protein_coding	ENSMUST00000027488.10	protein_coding	1	64	0.505338858179346	6.854921611202828	0	0	0
chr1	93343323	93343768	ZFP143_peak_89	93308778	93342789	ENSMUSG00000026274.11	Pask	-	protein_coding	ENSMUST00000027493.3	protein_coding	1	756	0.4254662350146091	14.470532119081872	0	0	0
chr1	93343323	93343768	ZFP143_peak_89	93342854	93373489	ENSMUSG00000026275.13	Ppp1r7	+	protein_coding	ENSMUST00000027494.10	protein_coding	1	691	0.6215253828404252	19.040430103316428	1	1	1
chr1	93635354	93636082	ZFP143_peak_90	93619751	93635722	ENSMUSG00000026277.14	Stk25	-	protein_coding	ENSMUST00000027498.13	protein_coding	1	4	0.7074897565407945	11.299318901713029	1	1	1
chr1	93731824	93732156	ZFP143_peak_91	93705387	93731926	ENSMUSG00000026279.14	Thap4	-	protein_coding	ENSMUST00000189728.6	protein_coding	2	64	0.4341587853863672	11.5221400053688	1	1	1
chr1	93731824	93732156	ZFP143_peak_91	93731104	93751072	ENSMUSG00000101952.1	Gm10550	+	antisense	ENSMUST00000188846.1	antisense	2	886	0.005270719678197462	0.10524573053424692	0	0	0
chr1	106171171	106171686	ZFP143_peak_93	106152625	106171524	ENSMUSG00000101583.1	Gm20753	-	lincRNA	ENSMUST00000190105.1	lincRNA	1	96	0.009026246940774068	0.17058704093368912	0	1	0
chr1	106171171	106171686	ZFP143_peak_93	106171752	106394250	ENSMUSG00000044340.7	Phlpp1	+	protein_coding	ENSMUST00000061047.6	protein_coding	1	324	0.2294585493410792	51.05406831129144	1	1	1
chr1	106796279	106796863	ZFP143_peak_94	106764071	106796667	ENSMUSG00000009907.17	Vps4b	-	protein_coding	ENSMUST00000112736.7	protein_coding	1	96	0.8468837601685653	27.605023046454548	0	0	0
chr1	119913056	119913354	ZFP143_peak_98	119907890	119913208	ENSMUSG00000036975.5	Tmem177	-	protein_coding	ENSMUST00000037906.5	protein_coding	1	3	0.6111576960159883	3.2501366274130254	0	0	0
chr1	120121026	120121363	ZFP143_peak_99	120113280	120121078	ENSMUSG00000026385.16	Dbi	-	protein_coding	ENSMUST00000027634.12	protein_coding	1	116	1.0495593928020899	8.184464145070697	1	0	0
chr1	120121026	120121363	ZFP143_peak_99	120121195	120188189	ENSMUSG00000026388.15	3110009E18Rik	+	protein_coding	ENSMUST00000112644.8	protein_coding	1	1	0.11663165283158058	7.81362094979891	0	0	0
chr1	127773710	127774274	ZFP143_peak_100	127753616	127774054	ENSMUSG00000102014.1	2900009J06Rik	-	antisense	ENSMUST00000188163.1	antisense	1	62	0.12248422465526243	2.5033325835042533	1	0	0
chr1	127773710	127774274	ZFP143_peak_100	127774164	127808061	ENSMUSG00000026349.14	Ccnt2	+	protein_coding	ENSMUST00000027587.14	protein_coding	1	172	1.1716859509407072	39.716638679037146	1	0	0
chr1	127868578	127869121	ZFP143_peak_101	127868789	127882448	ENSMUSG00000036104.12	Rab3gap1	+	protein_coding	ENSMUST00000186865.6	processed_transcript	1	60	0.18409555206057682	2.514561145595419	1	0	0
chr1	128102400	128102983	ZFP143_peak_102	127954184	128102462	ENSMUSG00000036086.16	Zranb3	-	protein_coding	ENSMUST00000086614.11	protein_coding	1	229	0.22283700942902962	33.04182608411765	1	1	1
chr1	128102400	128102983	ZFP143_peak_102	128103321	128179129	ENSMUSG00000056211.13	R3hdm1	+	protein_coding	ENSMUST00000188381.6	protein_coding	1	630	0.3788161332652651	28.717293430573214	0	1	0
chr1	128243856	128244675	ZFP143_peak_103	128244162	128279378	ENSMUSG00000026353.9	Ubxn4	+	protein_coding	ENSMUST00000027592.5	protein_coding	1	103	0.3935693698204007	13.85993892759523	1	1	1
chr1	131866925	131867473	ZFP143_peak_105	131867224	131872739	ENSMUSG00000026433.13	Rab29	+	protein_coding	ENSMUST00000112386.7	protein_coding	1	25	0.25000849147917376	1.3787968305076432	0	1	0
chr1	132200563	132201045	ZFP143_peak_108	132200963	132205783	ENSMUSG00000079330.9	Lemd1	+	protein_coding	ENSMUST00000189062.1	protein_coding	1	159	0.66141790140925	3.1880342847925855	1	1	1
chr1	132417176	132417676	ZFP143_peak_109	132417555	132466958	ENSMUSG00000042046.15	Dstyk	+	protein_coding	ENSMUST00000045110.13	protein_coding	1	129	0.13428816863004164	6.634238394829948	1	1	1
chr1	133661166	133661694	ZFP143_peak_114	133619871	133661380	ENSMUSG00000116275.1	Zc3h11a	-	protein_coding	ENSMUST00000027736.12	protein_coding	1	50	2.0273281165079937	84.15236278813032	1	1	1
chr1	134110031	134110323	ZFP143_peak_116	134111242	134151540	ENSMUSG00000026450.14	Chit1	+	protein_coding	ENSMUST00000159963.7	protein_coding	1	1065	0.020159922477664127	0.8124045560049089	1	1	1
chr1	134405877	134406170	ZFP143_peak_117	134405781	134411740	ENSMUSG00000026456.18	Cyb5r1	+	protein_coding	ENSMUST00000027726.13	protein_coding	1	242	3.7859185422841795	22.560288593471423	0	0	0
chr1	134955795	134956346	ZFP143_peak_119	134947943	134955942	ENSMUSG00000073557.12	Ppp1r12b	-	protein_coding	ENSMUST00000112163.1	protein_coding	1	128	0.14875322707789135	1.1898770633960527	1	1	1
chr1	135248331	135248765	ZFP143_peak_123	135248561	135266443	ENSMUSG00000097680.1	Gm26642	+	antisense	ENSMUST00000180981.1	antisense	1	13	0.040188266930909405	0.718646589258522	1	1	1
chr1	136624691	136625182	ZFP143_peak_128	136624901	136630053	ENSMUSG00000041483.14	Zfp281	+	protein_coding	ENSMUST00000047734.14	protein_coding	1	35	1.3287296751016826	6.845615286123868	1	0	0
chr1	136677083	136677267	ZFP143_peak_129	136676473	136682727	ENSMUSG00000097113.7	Gm19705	+	lincRNA	ENSMUST00000181491.1	lincRNA	5	702	0.13456968619154755	0.8415988174419382	1	0	0
chr1	136695886	136696073	ZFP143_peak_130	136696211	136726142	ENSMUSG00000097448.1	Platr22	+	lincRNA	ENSMUST00000181274.1	lincRNA	5	232	0.19322578856183864	5.783441077444393	1	0	0
chr1	138619431	138619886	ZFP143_peak_132	138484112	138619674	ENSMUSG00000026393.10	Nek7	-	protein_coding	ENSMUST00000027642.4	protein_coding	1	16	0.18680746199681825	25.323993163212677	0	0	0
chr1	143777058	143777577	ZFP143_peak_133	143750790	143777068	ENSMUSG00000018199.9	Ro60	-	protein_coding	ENSMUST00000159879.1	protein_coding	1	249	0.20583151347135303	5.408840511000214	1	0	0
chr1	143777058	143777577	ZFP143_peak_133	143777281	143807466	ENSMUSG00000018189.12	Uchl5	+	protein_coding	ENSMUST00000018333.12	protein_coding	1	36	0.43174005586746345	13.032073586359385	0	0	0
chr1	150392773	150393531	ZFP143_peak_134	150361305	150393080	ENSMUSG00000006010.14	Odr4	-	protein_coding	ENSMUST00000111913.8	protein_coding	5	72	0.2569293236160684	8.163929257900573	1	0	0
chr1	150392773	150393531	ZFP143_peak_134	150392838	150449815	ENSMUSG00000006005.18	Tpr	+	protein_coding	ENSMUST00000124973.8	protein_coding	1	314	1.1711190970855263	66.72685279464201	1	1	1
chr1	151428050	151428782	ZFP143_peak_135	151367699	151428455	ENSMUSG00000052748.14	Swt1	-	protein_coding	ENSMUST00000064771.11	protein_coding	1	39	0.2809602304021347	17.0700197583121	1	1	1
chr1	151428050	151428782	ZFP143_peak_135	151428542	151458161	ENSMUSG00000053286.11	Trmt1l	+	protein_coding	ENSMUST00000065625.11	protein_coding	1	126	0.18474776103571242	5.4720439341167655	1	0	0
chr1	151500704	151500910	ZFP143_peak_136	151469405	151500811	ENSMUSG00000026484.13	Rnf2	-	protein_coding	ENSMUST00000187048.6	protein_coding	1	4	0.9337124371875909	29.324172802313477	1	0	0
chr1	151754822	151755366	ZFP143_peak_137	151748949	151755018	ENSMUSG00000100594.1	2810414N06Rik	-	lincRNA	ENSMUST00000186444.1	lincRNA	2	76	0.024183495560809475	0.1467696345585527	1	1	1
chr1	151754822	151755366	ZFP143_peak_137	151755374	151822051	ENSMUSG00000043019.12	Edem3	+	protein_coding	ENSMUST00000059498.11	protein_coding	1	280	0.23602491390813307	15.737433184652591	1	1	1
chr1	153093303	153093585	ZFP143_peak_139	153093480	153094597	ENSMUSG00000042751.14	Nmnat2	+	protein_coding	ENSMUST00000190960.1	processed_transcript	3	36	1.45452219057697	1.6247012868744757	0	0	0
chr1	153333159	153333418	ZFP143_peak_141	153218922	153332786	ENSMUSG00000026478.14	Lamc1	-	protein_coding	ENSMUST00000027752.14	protein_coding	1	502	1.143649987073521	130.22056212813942	1	0	0
chr1	153549570	153550001	ZFP143_peak_142	153503015	153550045	ENSMUSG00000042684.8	Npl	-	protein_coding	ENSMUST00000041874.8	protein_coding	1	260	0.3363848232953114	15.820178239578496	0	1	0
chr1	155973089	155973469	ZFP143_peak_143	155935870	155972890	ENSMUSG00000033671.18	Cep350	-	protein_coding	ENSMUST00000124495.2	protein_coding	1	389	0.13777188840139254	5.100315308619552	1	0	0
chr1	156035935	156036182	ZFP143_peak_144	156004614	156036427	ENSMUSG00000026466.16	Tor1aip1	-	protein_coding	ENSMUST00000097527.9	protein_coding	1	369	0.3817947182761816	12.146035372520167	0	0	0
chr1	156040620	156041102	ZFP143_peak_145	156040890	156068861	ENSMUSG00000050565.16	Tor1aip2	+	protein_coding	ENSMUST00000060404.4	protein_coding	1	29	1.524873870096846	42.65224702047888	1	1	1
chr1	160309084	160309374	ZFP143_peak_148	160290319	160307777	ENSMUSG00000026721.16	Rabgap1l	-	protein_coding	ENSMUST00000195114.1	processed_transcript	3	1452	0.08930580678075031	1.5591007747783387	0	0	0
chr1	161070661	161071113	ZFP143_peak_149	161040601	161070658	ENSMUSG00000026709.10	Dars2	-	protein_coding	ENSMUST00000035430.3	protein_coding	1	229	0.34308822925674565	10.312202906770002	1	0	0
chr1	161070661	161071113	ZFP143_peak_149	161070767	161086338	ENSMUSG00000026708.16	Cenpl	+	protein_coding	ENSMUST00000111620.9	protein_coding	1	120	0.6354276091542824	9.894243302141332	0	0	0
chr1	161876798	161877222	ZFP143_peak_150	161816114	161876682	ENSMUSG00000040297.12	Suco	-	protein_coding	ENSMUST00000048377.10	protein_coding	1	328	0.3154561652820954	19.106549018805957	0	1	0
chr1	163994414	163994994	ZFP143_peak_152	163945993	163994796	ENSMUSG00000041406.14	BC055324	-	protein_coding	ENSMUST00000097493.9	protein_coding	1	92	0.4128455471479886	20.148101237463287	0	0	0
chr1	163994414	163994994	ZFP143_peak_152	163994889	163997243	ENSMUSG00000041396.13	Mettl18	+	protein_coding	ENSMUST00000045694.13	protein_coding	1	185	0.9878428958314075	2.3253821767871337	1	1	1
chr1	165194219	165194609	ZFP143_peak_153	165174337	165194438	ENSMUSG00000040848.11	Sft2d2	-	protein_coding	ENSMUST00000043338.9	protein_coding	1	24	0.12799891134985658	2.572906117043467	0	0	0
chr1	166126727	166127088	ZFP143_peak_154	166098153	166127896	ENSMUSG00000026564.9	Dusp27	-	protein_coding	ENSMUST00000085992.3	protein_coding	1	989	0.712020528079079	21.177626566656045	0	0	0
chr1	166409681	166409904	ZFP143_peak_155	166384622	166409782	ENSMUSG00000040596.15	Pogk	-	protein_coding	ENSMUST00000135673.7	protein_coding	1	10	0.005436944734692032	0.13679352952485152	0	0	0
chr1	170868490	170868870	ZFP143_peak_157	170704674	170867771	ENSMUSG00000026663.6	Atf6	-	protein_coding	ENSMUST00000027974.6	protein_coding	1	909	0.2094330207841635	34.15789739083472	0	0	0
chr1	170868490	170868870	ZFP143_peak_157	170868645	170881721	ENSMUSG00000053925.4	Gm9929	+	processed_transcript	ENSMUST00000171747.1	processed_transcript	1	35	0.22519384693642402	2.944634742540681	1	0	0
chr1	172481819	172482304	ZFP143_peak_160	172482215	172498877	ENSMUSG00000037995.15	Igsf9	+	protein_coding	ENSMUST00000052629.12	protein_coding	1	154	0.06648796727332915	1.1078225107082103	1	1	1
chr1	175625562	175625960	ZFP143_peak_161	175600374	175625635	ENSMUSG00000026526.14	Fh1	-	protein_coding	ENSMUST00000027810.13	protein_coding	1	126	0.6635051681918124	16.760804053693374	1	0	0
chr1	175880237	175880800	ZFP143_peak_162	175880581	175913489	ENSMUSG00000039748.11	Exo1	+	protein_coding	ENSMUST00000039725.11	protein_coding	1	63	1.2787736029091126	42.081881724533076	1	1	1
chr1	176814006	176815052	ZFP143_peak_164	176778393	176814067	ENSMUSG00000057335.11	Cep170	-	protein_coding	ENSMUST00000192961.5	protein_coding	1	462	0.2160897515704073	7.70878579752271	1	1	1
chr1	176814006	176815052	ZFP143_peak_164	176814660	177020437	ENSMUSG00000026504.17	Sdccag8	+	protein_coding	ENSMUST00000027785.14	protein_coding	1	131	0.04743154829530728	9.760321713563446	1	1	1
chr1	177258779	177258953	ZFP143_peak_165	177022116	177258203	ENSMUSG00000019699.16	Akt3	-	protein_coding	ENSMUST00000111159.1	protein_coding	5	663	0.0276565829170083	6.529359691127738	0	0	0
chr1	177796574	177797081	ZFP143_peak_166	177762962	177796511	ENSMUSG00000015961.8	Adss	-	protein_coding	ENSMUST00000016105.8	protein_coding	1	316	1.0476312013537203	35.146979174215964	0	0	0
chr1	178187169	178187724	ZFP143_peak_168	178187417	178250901	ENSMUSG00000026502.13	Desi2	+	protein_coding	ENSMUST00000161075.7	protein_coding	1	29	0.21726053107945686	13.79256755504824	0	0	0
chr1	179803549	179804091	ZFP143_peak_170	179744894	179803680	ENSMUSG00000026491.13	Ahctf1	-	protein_coding	ENSMUST00000027768.13	protein_coding	1	140	1.384542664704579	81.39172508732338	0	0	0
chr1	180640971	180641623	ZFP143_peak_173	180641150	180690687	ENSMUSG00000058729.13	Lin9	+	protein_coding	ENSMUST00000192561.5	protein_coding	1	147	0.4773183666013935	23.64491992633323	1	0	0
chr1	181144321	181144492	ZFP143_peak_177	181087138	181144204	ENSMUSG00000026516.8	Nvl	-	protein_coding	ENSMUST00000027797.8	protein_coding	1	202	0.7619044471729917	43.478839182373946	0	0	0
chr1	181150662	181151346	ZFP143_peak_178	181150931	181168994	ENSMUSG00000062169.13	Cnih4	+	protein_coding	ENSMUST00000134115.7	protein_coding	1	73	0.7181973998372309	12.9727996332599	1	1	1
chr1	190928381	190928894	ZFP143_peak_181	190928492	190946962	ENSMUSG00000026634.16	Angel2	+	protein_coding	ENSMUST00000066632.13	protein_coding	1	145	0.39913111878345675	7.371951763930445	1	0	0
chr1	191325587	191326130	ZFP143_peak_182	191325912	191350914	ENSMUSG00000026627.7	Pacc1	+	protein_coding	ENSMUST00000027940.5	protein_coding	1	54	0.14075371716226387	3.5191244364909204	1	1	1
chr1	191821194	191821667	ZFP143_peak_183	191821444	191833050	ENSMUSG00000026622.15	Nek2	+	protein_coding	ENSMUST00000027931.7	protein_coding	1	14	1.256368594380037	14.581413906374706	1	0	0
chr1	195131314	195131729	ZFP143_peak_188	195103790	195131561	ENSMUSG00000016481.15	Cr1l	-	protein_coding	ENSMUST00000075451.11	protein_coding	1	40	0.2595417821979554	7.207734833419419	1	0	0
chr10	7662921	7663563	ZFP143_peak_191	7637730	7663261	ENSMUSG00000019795.17	Pcmt1	-	protein_coding	ENSMUST00000163085.7	protein_coding	1	19	0.4890280177128729	12.485374320227358	0	0	0
chr10	7680863	7681444	ZFP143_peak_192	7681214	7716460	ENSMUSG00000040021.13	Lats1	+	protein_coding	ENSMUST00000165952.8	protein_coding	1	61	0.557670830624777	19.65566609620089	0	0	0
chr10	9902049	9902396	ZFP143_peak_195	9759958	9901079	ENSMUSG00000019790.17	Stxbp5	-	protein_coding	ENSMUST00000141722.7	protein_coding	5	1143	0.06602679330127731	9.317767097469556	1	1	1
chr10	17794546	17794836	ZFP143_peak_198	17790522	17795328	ENSMUSG00000093672.2	Gm20655	-	antisense	ENSMUST00000181428.1	antisense	1	637	0.027321857954144064	0.13130884932761638	1	1	1
chr10	17794546	17794836	ZFP143_peak_198	17796256	17845665	ENSMUSG00000039891.6	Txlnb	+	protein_coding	ENSMUST00000037964.6	protein_coding	1	1565	0.07578260294938728	3.744342629126276	0	0	0
chr10	18234931	18235438	ZFP143_peak_199	18213676	18234996	ENSMUSG00000059554.12	Ccdc28a	-	protein_coding	ENSMUST00000080860.12	protein_coding	1	188	0.06349563635436412	1.3537269670750427	0	0	0
chr10	18234931	18235438	ZFP143_peak_199	18235053	18238060	ENSMUSG00000096977.2	Gm10827	+	lincRNA	ENSMUST00000181897.1	lincRNA	1	131	0.07663574031789032	0.2304436711358962	1	1	1
