NAME	NES_2H	FDR_2H	NES_6H	FDR_6H	NES_24H	FDR_24H
GOBP_REGULATION_OF_POSITIVE_CHEMOTAXIS	1.6698021	1.0	1.5936899	0.74506545	1.5227532	0.17567816
GOBP_PROGESTERONE_METABOLIC_PROCESS	1.6696249	1.0	1.632906	0.63272494	1.2932035	0.36168033
GOBP_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION	1.6652133	1.0	1.2131933	0.8768513	1.3481956	0.31018922
GOBP_TERPENOID_BIOSYNTHETIC_PROCESS	1.6636951	1.0	1.3080521	0.8095545	1.2045338	0.4521504
GOBP_POSITIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	1.6604577	1.0	1.3273433	0.8012147	1.5389082	0.16519284
GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	1.6600959	0.99195343	1.3278512	0.80194676	1.4040903	0.25823152
GOBP_POSITIVE_CHEMOTAXIS	1.6591295	0.96835834	1.4052145	0.81625146	1.727813	0.09186224
GOBP_ENERGY_HOMEOSTASIS	1.6584421	0.94394916	2.0834548	0.04369619	1.9963406	0.01410547
GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	1.6581361	0.91717637	1.3858163	0.8153437	1.2597729	0.3944554
GOBP_NEGATIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	1.6398677	1.0	1.3529171	0.81637895	0.72040516	0.96592796
GOBP_POSITIVE_REGULATION_OF_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION	1.6361692	1.0	1.2995169	0.8122977	1.1569474	0.5058441
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS	1.6357566	1.0	1.6256669	0.65933776	1.6091825	0.13192499
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_TYPE_II_INTERFERON	1.6349357	1.0	1.4130609	0.81300414	1.4279295	0.24023235
GOBP_NEUTROPHIL_HOMEOSTASIS	1.6333834	1.0	2.0018077	0.091542356	1.6338537	0.119050615
GOBP_REGULATION_OF_NEURON_PROJECTION_ARBORIZATION	1.6314296	1.0	1.5063514	0.8538772	1.4845968	0.2043058
GOBP_TRANS_SYNAPTIC_SIGNALING_BY_LIPID	1.6238849	1.0	1.5554808	0.77307165	1.5650523	0.14640282
GOBP_PRESYNAPTIC_DENSE_CORE_VESICLE_EXOCYTOSIS	1.6166203	1.0	1.8682357	0.31622612	1.1073055	0.56758744
GOBP_INTRACELLULAR_MONOATOMIC_ANION_HOMEOSTASIS	1.6108226	1.0	1.6489927	0.5994514	1.0260682	0.6768835
GOBP_REGULATION_OF_RECEPTOR_BINDING	1.6098094	1.0	1.5038184	0.8489235	1.5671868	0.14743371
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION	1.6059828	1.0	1.2275156	0.87268806	-0.9025749	1.0
GOBP_DIENCEPHALON_MORPHOGENESIS	1.6029897	1.0	1.2397015	0.8623686	1.182489	0.4762454
GOBP_9_CIS_RETINOIC_ACID_METABOLIC_PROCESS	1.5995711	1.0	1.5907527	0.73963225	1.4055492	0.25711903
GOBP_RESPONSE_TO_ELECTRICAL_STIMULUS	1.5910163	1.0	1.6753869	0.5754959	1.3065212	0.34892064
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_BARORECEPTOR_FEEDBACK	1.5891907	1.0	1.4647067	0.8480647	1.5613372	0.14962377
GOBP_POSITIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY	1.5730509	1.0	1.0731584	0.94276965	1.4193853	0.24664575
GOBP_RESPONSE_TO_HYPEROXIA	1.570928	1.0	1.7650312	0.43014434	1.4251249	0.24145599
GOBP_TRIGLYCERIDE_METABOLIC_PROCESS	1.5686666	1.0	1.0284711	0.97153413	0.7642606	0.94805825
GOBP_POSITIVE_REGULATION_OF_STEROL_TRANSPORT	1.5666373	1.0	1.3328408	0.7949907	1.192345	0.46578082
GOBP_LONG_CHAIN_FATTY_ACID_CATABOLIC_PROCESS	1.5665528	1.0	1.752023	0.46433562	1.7054077	0.09745472
GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION	1.5653504	1.0	1.1316938	0.91809434	0.739397	0.95927954
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	1.5619484	1.0	1.5036408	0.84481144	1.4261423	0.2414447
GOBP_MUCOCILIARY_CLEARANCE	1.5609715	1.0	0.83426136	1.0	1.5812684	0.14129354
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_DIFFERENTIATION	1.5592752	1.0	1.1023996	0.93665624	0.8126335	0.9184824
GOBP_SOMITE_ROSTRAL_CAUDAL_AXIS_SPECIFICATION	1.5570633	1.0	1.350161	0.81145895	0.6288457	0.9908363
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_BINDING	1.556786	1.0	1.4400275	0.79552084	1.3029139	0.35290587
GOBP_REGULATION_OF_PLATELET_AGGREGATION	1.5533338	1.0	1.3579087	0.8165253	1.5960959	0.13825373
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	1.5519904	1.0	1.3983786	0.79942846	1.5665556	0.14731069
GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	1.5513587	1.0	1.7293346	0.5099323	1.4304684	0.23893976
GOBP_CELLULAR_RESPONSE_TO_HISTAMINE	1.5509502	1.0	1.282975	0.83025366	1.455237	0.22355877
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	1.5507658	1.0	1.1714582	0.89065844	1.0469879	0.64558524
GOBP_SCHWANN_CELL_MIGRATION	1.549842	1.0	1.4737637	0.8586961	1.1124841	0.5591275
GOBP_REGULATION_OF_BASEMENT_MEMBRANE_ORGANIZATION	1.5480322	1.0	1.4265876	0.8025303	1.2734332	0.38099664
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	1.5468266	1.0	1.4617934	0.83843565	1.5715328	0.14441097
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	1.5434529	1.0	1.463745	0.8459868	-0.7499365	1.0
GOBP_PIRNA_PROCESSING	1.5379649	1.0	1.9667777	0.13094188	2.1299906	0.001055212
GOBP_DETECTION_OF_CHEMICAL_STIMULUS	1.5309931	1.0	1.7042707	0.5259734	1.6809106	0.103741854
GOBP_LEUKOCYTE_HOMEOSTASIS	1.5297115	1.0	1.5998814	0.7384134	1.722878	0.09406952
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	1.5294603	1.0	1.8095596	0.36492577	1.8321048	0.064597435
GOBP_ESTABLISHMENT_OF_LEFT_RIGHT_ASYMMETRY	1.529227	1.0	1.6411903	0.6183281	1.4056327	0.2571632
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	1.5285748	1.0	0.9609241	0.98304707	1.2432059	0.40998924
GOBP_RESPONSE_TO_REDOX_STATE	1.5267652	1.0	0.96885973	0.9846014	1.1539792	0.5087666
GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS	1.5264957	1.0	1.4230734	0.8049485	1.0372938	0.66087955
GOBP_MANCHETTE_ASSEMBLY	1.5260928	1.0	1.5900524	0.73610973	1.3606405	0.29893908
GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND	1.5250708	1.0	1.4996482	0.84479606	0.97268313	0.7487254
GOBP_PYRIMIDINE_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	1.5234121	1.0	1.4215541	0.7996301	1.5369143	0.16657378
GOBP_REGULATION_OF_MESENCHYMAL_STEM_CELL_DIFFERENTIATION	1.5229173	1.0	1.7164973	0.50916	1.460902	0.22097771
GOBP_OTIC_VESICLE_MORPHOGENESIS	1.5175256	1.0	1.3779508	0.82015693	0.8041149	0.92337626
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	1.5166892	1.0	1.4321642	0.7949238	1.6225951	0.12578988
GOBP_DENDRITIC_CELL_APOPTOTIC_PROCESS	1.5156827	1.0	1.3366736	0.79646343	1.1884713	0.47017053
GOBP_VERY_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS	1.5141978	1.0	1.212061	0.8761743	1.4787602	0.20627667
GOBP_TOOTH_ERUPTION	1.5129917	1.0	1.3620697	0.82687503	0.6377031	0.98868597
GOBP_RESPONSE_TO_ACID_CHEMICAL	1.5119551	1.0	1.8325442	0.3294611	1.662652	0.11011128
GOBP_NEGATIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS	1.5118078	1.0	1.3195325	0.8048797	1.4016336	0.26102406
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	1.5106903	1.0	1.2454926	0.85911965	0.8804483	0.8591826
GOBP_REGULATION_OF_RESPONSE_TO_TYPE_II_INTERFERON	1.5040747	1.0	1.2446238	0.8580956	1.4007616	0.26085058
GOBP_NEGATIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	1.4959753	1.0	1.3426591	0.8001325	1.3747666	0.2859706
GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS	1.4931477	1.0	1.4486011	0.80349386	1.6137611	0.130415
GOBP_BASOLATERAL_PROTEIN_SECRETION	1.4908385	1.0	1.349583	0.80891854	0.8943105	0.84523135
GOBP_SENSORY_PERCEPTION_OF_SWEET_TASTE	1.4884328	1.0	1.3209951	0.8071972	1.0367708	0.66135305
GOBP_RETINOIC_ACID_METABOLIC_PROCESS	1.4855741	1.0	1.3904301	0.8145047	1.4981967	0.19525614
GOBP_SPLEEN_DEVELOPMENT	1.4854234	1.0	1.5308657	0.7907322	1.6540195	0.112884164
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION	1.4850916	1.0	1.3302567	0.8019221	1.3317584	0.3256281
GOBP_ABSCISSION	1.4848684	1.0	1.570661	0.7287662	1.0531353	0.6375916
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	1.4830027	1.0	1.4662739	0.86259866	0.73853654	0.9598367
GOBP_CARDIAC_ATRIUM_DEVELOPMENT	1.4828275	1.0	1.4623514	0.838926	1.5753042	0.1434499
GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	1.481182	1.0	1.2410767	0.8634851	1.3753988	0.285533
GOBP_FATTY_ACID_ELONGATION	1.4783486	1.0	1.3034804	0.8087788	1.3734194	0.28617758
GOBP_REGULATION_OF_NK_T_CELL_PROLIFERATION	1.4762063	1.0	1.4486438	0.8064412	1.2361925	0.41797403
GOBP_REGULATION_OF_MESODERM_DEVELOPMENT	1.4761796	1.0	1.4565423	0.8360425	0.9602553	0.76408255
GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY	1.4753097	1.0	1.3392631	0.7976428	0.86101174	0.87498814
GOBP_ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	1.4749472	1.0	-0.7224708	1.0	-1.4416217	0.7416495
GOBP_PROPIONATE_METABOLIC_PROCESS	1.4738042	1.0	1.2909268	0.8211205	1.0917318	0.58705956
GOBP_PYRIMIDINE_NUCLEOBASE_CATABOLIC_PROCESS	1.4716272	1.0	1.1360974	0.9175463	0.91259116	0.8252798
GOBP_IP_10_PRODUCTION	1.4700713	1.0	1.2859738	0.8304387	-1.0467927	0.984316
GOBP_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS	1.4696792	1.0	1.3439094	0.80765545	1.2580994	0.39536557
GOBP_REGULATION_OF_MONOATOMIC_ANION_TRANSPORT	1.4682071	1.0	1.8360593	0.36696568	1.7242464	0.09300963
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1.4674577	1.0	1.2645614	0.84163994	1.3434396	0.315439
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	1.4661936	1.0	1.4518989	0.81096303	0.9309356	0.8020655
GOBP_REGULATION_OF_MICROVILLUS_ASSEMBLY	1.4659792	1.0	1.09877	0.9382942	1.2817755	0.37401706
GOBP_NEGATIVE_REGULATION_OF_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	1.4654492	1.0	1.0575718	0.9529418	-0.96311665	1.0
GOBP_REGULATION_OF_GLYCOGEN_CATABOLIC_PROCESS	1.4639527	1.0	1.6179215	0.6909859	1.6364744	0.1175857
GOBP_INTERLEUKIN_12_MEDIATED_SIGNALING_PATHWAY	1.4637201	1.0	1.4260364	0.8026999	1.3725172	0.286928
GOBP_REGULATION_OF_DENSE_CORE_GRANULE_EXOCYTOSIS	1.461822	1.0	1.6519423	0.6107423	1.361956	0.29694536
GOBP_NODAL_SIGNALING_PATHWAY	1.461447	1.0	0.92142636	0.98685265	0.66470385	0.9848143
GOBP_NEGATIVE_REGULATION_OF_VESICLE_FUSION	1.4610001	1.0	1.377387	0.81459194	1.5613569	0.14985724
GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS	1.4608753	1.0	1.4343553	0.79447156	1.0986432	0.57906634
GOBP_REGULATION_OF_REMOVAL_OF_SUPEROXIDE_RADICALS	1.4606032	1.0	1.3604084	0.8176649	1.4798203	0.2055959
GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE	1.4605155	1.0	1.1291775	0.91523546	1.3700268	0.2897484
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	1.4603269	1.0	1.8090382	0.347158	1.8114042	0.07128562
GOBP_PROTEIN_LIPIDATION_INVOLVED_IN_AUTOPHAGOSOME_ASSEMBLY	1.4595615	1.0	1.6682373	0.5741553	1.3177915	0.33867484
GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM	1.4594009	1.0	1.3778349	0.8186483	1.2967494	0.36011684
GOBP_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS	1.4584166	1.0	1.5748086	0.7369497	1.3995199	0.26178575
GOBP_GLYCOSYLCERAMIDE_METABOLIC_PROCESS	1.4579811	1.0	1.5893118	0.72495675	1.5116981	0.1853855
GOBP_REGULATION_OF_NEURON_MATURATION	1.4566598	1.0	1.3243759	0.80256695	1.6683248	0.10646652
GOBP_THERMOCEPTION	1.4547641	1.0	1.45065	0.80823874	1.273971	0.38062662
GOBP_SPERM_CAPACITATION	1.4536746	1.0	1.2717705	0.8335487	1.4297776	0.23893557
GOBP_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT	1.4524719	1.0	0.8849498	0.9920767	0.9722966	0.7492487
GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.4517411	1.0	1.5823232	0.7319903	1.4721105	0.21082462
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_DIFFERENTIATION	1.449397	1.0	0.8483433	1.0	0.9663446	0.7552258
GOBP_CALCITONIN_FAMILY_RECEPTOR_SIGNALING_PATHWAY	1.447327	1.0	1.0653116	0.9506105	1.2722936	0.3812995
GOBP_STEROL_METABOLIC_PROCESS	1.4468337	1.0	1.0105911	0.9708009	1.2229258	0.43010014
GOBP_LEUKEMIA_INHIBITORY_FACTOR_SIGNALING_PATHWAY	1.4441786	1.0	1.2603691	0.83766264	-0.56034374	1.0
GOBP_NEGATIVE_REGULATION_OF_ANION_TRANSMEMBRANE_TRANSPORT	1.4438667	1.0	0.76277786	1.0	1.3452865	0.31374928
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	1.4432969	1.0	1.3249644	0.8014187	1.095811	0.5820551
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	1.4432448	1.0	0.6239005	1.0	-0.8036668	1.0
GOBP_CORTISOL_BIOSYNTHETIC_PROCESS	1.4418254	1.0	1.3862065	0.8156008	1.1609285	0.50023466
GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	1.4386889	1.0	1.225064	0.871756	1.353649	0.30554104
GOBP_REGULATION_OF_PHOSPHOLIPID_TRANSLOCATION	1.4383247	1.0	1.558508	0.7734623	1.4407738	0.23350674
GOBP_CARDIAC_CHAMBER_FORMATION	1.4363184	1.0	1.6765274	0.5802414	1.5522518	0.15477902
GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	1.4361938	1.0	0.59051955	1.0	0.75816715	0.95093846
GOBP_CILIUM_MOVEMENT	1.4357028	1.0	1.4627768	0.8439745	1.7141658	0.09476276
GOBP_LEPTOTENE	1.4354538	1.0	1.317047	0.8056296	1.0347708	0.66401225
GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	1.4350053	1.0	1.0620335	0.9536561	0.7993816	0.9271582
GOBP_ONE_CARBON_METABOLIC_PROCESS	1.4343457	1.0	1.3591019	0.81833684	1.4190301	0.24607335
GOBP_NK_T_CELL_DIFFERENTIATION	1.4341229	1.0	1.5032037	0.84239674	1.6087154	0.1312672
GOBP_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	1.4328555	1.0	1.2933073	0.82152385	1.2219615	0.4304877
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	1.4291143	1.0	1.4522002	0.8159418	1.4611273	0.22101663
GOBP_OTIC_VESICLE_FORMATION	1.4286895	1.0	1.4834498	0.8559578	0.9577013	0.7671202
GOBP_CHOLESTEROL_IMPORT	1.4279866	1.0	0.73930365	1.0	-0.6147984	1.0
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	1.427786	1.0	1.1444356	0.9086283	1.2305467	0.42309985
GOBP_INTRACELLULAR_GLUTAMATE_HOMEOSTASIS	1.4274551	1.0	1.7454714	0.48395035	1.318011	0.3388122
GOBP_ANTIBACTERIAL_INNATE_IMMUNE_RESPONSE	1.4271842	1.0	1.2777325	0.82347333	-1.1624244	0.90913975
GOBP_RESPONSE_TO_EPINEPHRINE	1.4270468	1.0	1.0443637	0.9573545	0.89246786	0.84726906
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	1.425284	1.0	1.0166731	0.9704804	1.2795392	0.37718713
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	1.4248077	1.0	1.425593	0.80237114	1.1610298	0.5005758
GOBP_NEGATIVE_REGULATION_OF_ASTROCYTE_DIFFERENTIATION	1.424421	1.0	0.8712721	0.995034	1.2342825	0.41998476
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL	1.4237696	1.0	1.7769741	0.4040855	1.6832142	0.101662174
GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_12	1.4235057	1.0	1.5711219	0.7325626	1.3897493	0.27040684
GOBP_POSITIVE_REGULATION_OF_CELL_MATURATION	1.4231528	1.0	1.1679399	0.8913594	1.7711637	0.0861307
GOBP_PLATELET_DEGRANULATION	1.4228715	1.0	1.1745158	0.889976	1.2301489	0.42282802
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS	1.4225461	1.0	1.2825034	0.82969064	1.0365026	0.6616099
GOBP_CONDITIONED_TASTE_AVERSION	1.4225419	1.0	1.5023584	0.8426997	1.1425983	0.5232695
GOBP_NEGATIVE_REGULATION_OF_CYTOKINESIS	1.4221141	1.0	1.5345739	0.82024306	0.95149696	0.77349913
GOBP_DCMP_CATABOLIC_PROCESS	1.42172	1.0	1.5269542	0.8041407	1.6293466	0.12132994
GOBP_POSITIVE_REGULATION_OF_MITOPHAGY	1.421516	1.0	1.3704886	0.82981783	1.3517067	0.30620992
GOBP_FOAM_CELL_DIFFERENTIATION	1.4214655	1.0	1.7431469	0.46366024	1.4259362	0.24140775
GOBP_CARNITINE_METABOLIC_PROCESS	1.4212512	1.0	0.91111344	0.988832	0.6357623	0.989091
GOBP_STEROID_METABOLIC_PROCESS	1.4210615	1.0	1.4034578	0.81076634	1.5794227	0.14205654
GOBP_REGULATION_OF_MITOPHAGY	1.4201039	1.0	1.3291267	0.8038988	1.434686	0.23564771
GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	1.4188864	1.0	1.3554399	0.8189583	1.6173875	0.128338
GOBP_CORTICOTROPIN_SECRETION	1.4183872	1.0	1.35015	0.80977136	1.3428484	0.31502917
GOBP_POSITIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	1.41633	1.0	1.3806852	0.81923443	1.0144982	0.6915443
GOBP_POSITIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	1.4158535	1.0	1.0546286	0.9537174	1.2425891	0.41092813
GOBP_REGULATION_OF_CELL_MATURATION	1.4151939	1.0	1.073823	0.9445654	1.6639228	0.10970961
GOBP_KERATINOCYTE_MIGRATION	1.4148145	1.0	0.9855306	0.97127026	1.1319352	0.53588307
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP	1.4145718	1.0	1.4700366	0.860406	1.3917265	0.2688526
GOBP_REGULATION_OF_KERATINOCYTE_MIGRATION	1.4145079	1.0	1.1155658	0.9317715	1.220498	0.4323163
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MAINTENANCE	1.4142556	1.0	1.6227946	0.66873884	0.9504999	0.7746283
GOBP_EMBRYONIC_CLEAVAGE	1.4138542	1.0	1.1410952	0.9141861	-0.6872315	1.0
GOBP_UMP_CATABOLIC_PROCESS	1.4137099	1.0	1.5235847	0.8031107	1.6241338	0.124987826
GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY	1.4134132	1.0	1.387475	0.8114434	1.6996022	0.099301234
GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	1.4132259	1.0	1.1017537	0.93670326	-0.6080016	1.0
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_BETA_CLEARANCE	1.4130545	1.0	-0.5846172	1.0	-0.8834848	1.0
GOBP_TELOMERE_LOCALIZATION	1.4127247	1.0	1.0816841	0.9444639	1.0225646	0.68086404
GOBP_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS	1.4127212	1.0	1.3391848	0.79641104	1.6181566	0.12756765
GOBP_REGULATION_OF_CORTICOTROPIN_SECRETION	1.4125772	1.0	1.3515227	0.8121999	1.3520248	0.30677304
GOBP_REGULATION_OF_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	1.4109253	1.0	1.3636822	0.832842	1.2618847	0.39295825
GOBP_SENSORY_PERCEPTION_OF_SOUR_TASTE	1.4098852	1.0	1.0966266	0.93696547	1.1951106	0.4640117
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS	1.4096315	1.0	1.2849195	0.83102715	0.8735799	0.8664069
GOBP_BLOOD_COAGULATION_FIBRIN_CLOT_FORMATION	1.4086152	1.0	1.1053331	0.9367783	-0.8357476	1.0
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	1.4082774	1.0	0.7625222	1.0	0.8207034	0.9121894
GOBP_MODULATION_OF_INHIBITORY_POSTSYNAPTIC_POTENTIAL	1.4077576	1.0	1.5316056	0.79170233	1.0938884	0.5848728
GOBP_NEGATIVE_REGULATION_OF_TROPHOBLAST_CELL_MIGRATION	1.4077288	1.0	0.69307256	1.0	1.2918481	0.36355796
GOBP_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	1.4054794	1.0	1.1373935	0.9169178	0.8262968	0.90773404
GOBP_REGULATION_OF_CAMP_DEPENDENT_PROTEIN_KINASE_ACTIVITY	1.4050361	1.0	1.4016973	0.80556154	1.5554274	0.15217331
GOBP_CORTICOSPINAL_TRACT_MORPHOGENESIS	1.4045465	1.0	1.3478872	0.80298054	1.3236344	0.33474788
GOBP_REGULATION_OF_STEROL_TRANSPORT	1.403695	1.0	1.2515919	0.8503765	1.0005559	0.71149015
