#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
chr7	25686640	25688449	chr7:25686640-25688449	.	.	25686640	25688449	0	1	1809	25686638	ZNF143 related (N=27801)
chr15	96287229	96288223	chr15:96287229-96288223	.	.	96287229	96288223	0	1	994	96287220	ZNF143 related (N=27801)
chr2	126674474	126676100	chr2:126674474-126676100	.	.	126674474	126676100	0	1	1626	126674473	ZNF143 related (N=27801)
chr6	117906771	117908146	chr6:117906771-117908146	.	.	117906771	117908146	0	1	1375	117906770	ZNF143 related (N=27801)
chr16	94569697	94571167	chr16:94569697-94571167	.	.	94569697	94571167	0	1	1470	94569688	ZNF143 related (N=27801)
chr9	106885687	106887474	chr9:106885687-106887474	.	.	106885687	106887474	0	1	1787	106885686	ZNF143 related (N=27801)
chr14	52008196	52008488	chr14:52008196-52008488	.	.	52008196	52008488	0	1	292	52008191	ZNF143 related (N=27801)
chr17	25272958	25274500	chr17:25272958-25274500	.	.	25272958	25274500	0	1	1542	25272956	ZNF143 related (N=27801)
chr1	178336400	178338373	chr1:178336400-178338373	.	.	178336400	178338373	0	1	1973	178336399	ZNF143 related (N=27801)
chr4	127021350	127022459	chr4:127021350-127022459	.	.	127021350	127022459	0	1	1109	127021349	ZNF143 related (N=27801)
chr10	80148605	80149590	chr10:80148605-80149590	.	.	80148605	80149590	0	1	985	80148597	ZNF143 related (N=27801)
chr8	69901338	69903406	chr8:69901338-69903406	.	.	69901338	69903406	0	1	2068	69901332	ZNF143 related (N=27801)
chr12	110992838	110993254	chr12:110992838-110993254	.	.	110992838	110993254	0	1	416	110992837	ZNF143 related (N=27801)
chr8	123041332	123043109	chr8:123041332-123043109	.	.	123041332	123043109	0	1	1777	123041331	ZNF143 related (N=27801)
chr12	76369001	76371443	chr12:76369001-76371443	.	.	76369001	76371443	0	1	2442	76368994	ZNF143 related (N=27801)
chr11	102316379	102319688	chr11:102316379-102319688	.	.	102316379	102319688	0	1	3309	102316378	ZNF143 related (N=27801)
chr18	34859808	34861857	chr18:34859808-34861857	.	.	34859808	34861857	0	1	2049	34859805	ZNF143 related (N=27801)
chr3	90264865	90266234	chr3:90264865-90266234	.	.	90264865	90266234	0	1	1369	90264856	ZNF143 related (N=27801)
chr14	75844575	75846041	chr14:75844575-75846041	.	.	75844575	75846041	0	1	1466	75844568	ZNF143 related (N=27801)
chr15	75678517	75678900	chr15:75678517-75678900	.	.	75678517	75678900	0	1	383	75678510	ZNF143 related (N=27801)
chr15	99087297	99087926	chr15:99087297-99087926	.	.	99087297	99087926	0	1	629	99087288	ZNF143 related (N=27801)
chr7	35117931	35118812	chr7:35117931-35118812	.	.	35117931	35118812	0	1	881	35117928	ZNF143 related (N=27801)
chr3	58414493	58417056	chr3:58414493-58417056	.	.	58414493	58417056	0	1	2563	58414488	ZNF143 related (N=27801)
chr1	191906218	191907827	chr1:191906218-191907827	.	.	191906218	191907827	0	1	1609	191906217	ZNF143 related (N=27801)
chr11	106787473	106789478	chr11:106787473-106789478	.	.	106787473	106789478	0	1	2005	106787472	ZNF143 related (N=27801)
chr3	51559753	51561694	chr3:51559753-51561694	.	.	51559753	51561694	0	1	1941	51559748	ZNF143 related (N=27801)
chr2	119476983	119478476	chr2:119476983-119478476	.	.	119476983	119478476	0	1	1493	119476982	ZNF143 related (N=27801)
chr17	29094627	29095201	chr17:29094627-29095201	.	.	29094627	29095201	0	1	574	29094625	ZNF143 related (N=27801)
chr6	72438801	72440328	chr6:72438801-72440328	.	.	72438801	72440328	0	1	1527	72438794	ZNF143 related (N=27801)
chr1	13372541	13374824	chr1:13372541-13374824	.	.	13372541	13374824	0	1	2283	13372540	ZNF143 related (N=27801)
chr2	156862492	156863815	chr2:156862492-156863815	.	.	156862492	156863815	0	1	1323	156862491	ZNF143 related (N=27801)
chr10	80928477	80929459	chr10:80928477-80929459	.	.	80928477	80929459	0	1	982	80928469	ZNF143 related (N=27801)
chr10	98913799	98915812	chr10:98913799-98915812	.	.	98913799	98915812	0	1	2013	98913790	ZNF143 related (N=27801)
chr8	90907866	90909395	chr8:90907866-90909395	.	.	90907866	90909395	0	1	1529	90907857	ZNF143 related (N=27801)
chr19	57360597	57361772	chr19:57360597-57361772	.	.	57360597	57361772	0	1	1175	57360592	ZNF143 related (N=27801)
chr5	105699577	105701581	chr5:105699577-105701581	.	.	105699577	105701581	0	1	2004	105699576	ZNF143 related (N=27801)
chr3	51275983	51277686	chr3:51275983-51277686	.	.	51275983	51277686	0	1	1703	51275978	ZNF143 related (N=27801)
chr8	25601414	25602748	chr8:25601414-25602748	.	.	25601414	25602748	0	1	1334	25601412	ZNF143 related (N=27801)
chr14	52019593	52020760	chr14:52019593-52020760	.	.	52019593	52020760	0	1	1167	52019588	ZNF143 related (N=27801)
chr7	127935366	127935869	chr7:127935366-127935869	.	.	127935366	127935869	0	1	503	127935365	ZNF143 related (N=27801)
chr16	11175416	11175616	chr16:11175416-11175616	.	.	11175416	11175616	0	1	200	11175415	ZNF143 related (N=27801)
chr11	86757045	86758513	chr11:86757045-86758513	.	.	86757045	86758513	0	1	1468	86757037	ZNF143 related (N=27801)
chr16	5049311	5050916	chr16:5049311-5050916	.	.	5049311	5050916	0	1	1605	5049306	ZNF143 related (N=27801)
chr4	133813261	133814617	chr4:133813261-133814617	.	.	133813261	133814617	0	1	1356	133813260	ZNF143 related (N=27801)
chr4	137725751	137725978	chr4:137725751-137725978	.	.	137725751	137725978	0	1	227	137725750	ZNF143 related (N=27801)
chr9	57764573	57766159	chr9:57764573-57766159	.	.	57764573	57766159	0	1	1586	57764568	ZNF143 related (N=27801)
chr2	168229803	168231497	chr2:168229803-168231497	.	.	168229803	168231497	0	1	1694	168229802	ZNF143 related (N=27801)
chr3	95658357	95659820	chr3:95658357-95659820	.	.	95658357	95659820	0	1	1463	95658348	ZNF143 related (N=27801)
chr5	33018293	33019672	chr5:33018293-33019672	.	.	33018293	33019672	0	1	1379	33018290	ZNF143 related (N=27801)
chr13	51845250	51846143	chr13:51845250-51846143	.	.	51845250	51846143	0	1	893	51845245	ZNF143 related (N=27801)
chr4	43025328	43026043	chr4:43025328-43026043	.	.	43025328	43026043	0	1	715	43025324	ZNF143 related (N=27801)
chr3	51339758	51341633	chr3:51339758-51341633	.	.	51339758	51341633	0	1	1875	51339753	ZNF143 related (N=27801)
chr19	3388760	3389551	chr19:3388760-3389551	.	.	3388760	3389551	0	1	791	3388757	ZNF143 related (N=27801)
chr5	65763266	65764848	chr5:65763266-65764848	.	.	65763266	65764848	0	1	1582	65763260	ZNF143 related (N=27801)
chr8	13104514	13106461	chr8:13104514-13106461	.	.	13104514	13106461	0	1	1947	13104513	ZNF143 related (N=27801)
chr10	80147674	80148400	chr10:80147674-80148400	.	.	80147674	80148400	0	1	726	80147666	ZNF143 related (N=27801)
chr1	85793182	85794543	chr1:85793182-85794543	.	.	85793182	85794543	0	1	1361	85793174	ZNF143 related (N=27801)
chr15	103183151	103183478	chr15:103183151-103183478	.	.	103183151	103183478	0	1	327	103183150	ZNF143 related (N=27801)
chr12	108792149	108794821	chr12:108792149-108794821	.	.	108792149	108794821	0	1	2672	108792148	ZNF143 related (N=27801)
chr10	115384085	115385846	chr10:115384085-115385846	.	.	115384085	115385846	0	1	1761	115384084	ZNF143 related (N=27801)
chr19	46500795	46503100	chr19:46500795-46503100	.	.	46500795	46503100	0	1	2305	46500791	ZNF143 related (N=27801)
chr17	46856283	46858035	chr17:46856283-46858035	.	.	46856283	46858035	0	1	1752	46856279	ZNF143 related (N=27801)
chr12	116280523	116281949	chr12:116280523-116281949	.	.	116280523	116281949	0	1	1426	116280522	ZNF143 related (N=27801)
chr19	46135869	46136685	chr19:46135869-46136685	.	.	46135869	46136685	0	1	816	46135865	ZNF143 related (N=27801)
chr11	93995318	93996996	chr11:93995318-93996996	.	.	93995318	93996996	0	1	1678	93995309	ZNF143 related (N=27801)
chr11	5098444	5100265	chr11:5098444-5100265	.	.	5098444	5100265	0	1	1821	5098439	ZNF143 related (N=27801)
chr4	116075338	116076752	chr4:116075338-116076752	.	.	116075338	116076752	0	1	1414	116075337	ZNF143 related (N=27801)
chr17	34119406	34122971	chr17:34119406-34122971	.	.	34119406	34122971	0	1	3565	34119403	ZNF143 related (N=27801)
chr17	31854907	31856814	chr17:31854907-31856814	.	.	31854907	31856814	0	1	1907	31854904	ZNF143 related (N=27801)
chr7	28795920	28796330	chr7:28795920-28796330	.	.	28795920	28796330	0	1	410	28795918	ZNF143 related (N=27801)
chr17	26508605	26509604	chr17:26508605-26509604	.	.	26508605	26509604	0	1	999	26508603	ZNF143 related (N=27801)
chr19	46760781	46762601	chr19:46760781-46762601	.	.	46760781	46762601	0	1	1820	46760777	ZNF143 related (N=27801)
chr11	5787966	5789091	chr11:5787966-5789091	.	.	5787966	5789091	0	1	1125	5787961	ZNF143 related (N=27801)
chr17	15704472	15706150	chr17:15704472-15706150	.	.	15704472	15706150	0	1	1678	15704471	ZNF143 related (N=27801)
chr11	105180756	105182486	chr11:105180756-105182486	.	.	105180756	105182486	0	1	1730	105180755	ZNF143 related (N=27801)
chr11	116852007	116854069	chr11:116852007-116854069	.	.	116852007	116854069	0	1	2062	116852006	ZNF143 related (N=27801)
chr10	95514626	95515894	chr10:95514626-95515894	.	.	95514626	95515894	0	1	1268	95514617	ZNF143 related (N=27801)
chr15	81585457	81586737	chr15:81585457-81586737	.	.	81585457	81586737	0	1	1280	81585449	ZNF143 related (N=27801)
chr2	156179398	156180877	chr2:156179398-156180877	.	.	156179398	156180877	0	1	1479	156179397	ZNF143 related (N=27801)
chr3	122245268	122246378	chr3:122245268-122246378	.	.	122245268	122246378	0	1	1110	122245267	ZNF143 related (N=27801)
chr5	147429707	147431186	chr5:147429707-147431186	.	.	147429707	147431186	0	1	1479	147429706	ZNF143 related (N=27801)
chr1	165459548	165461636	chr1:165459548-165461636	.	.	165459548	165461636	0	1	2088	165459547	ZNF143 related (N=27801)
chr2	104493248	104494767	chr2:104493248-104494767	.	.	104493248	104494767	0	1	1519	104493247	ZNF143 related (N=27801)
chr8	70698318	70700360	chr8:70698318-70700360	.	.	70698318	70700360	0	1	2042	70698311	ZNF143 related (N=27801)
chr4	33247408	33248849	chr4:33247408-33248849	.	.	33247408	33248849	0	1	1441	33247405	ZNF143 related (N=27801)
chr7	80992769	80994360	chr7:80992769-80994360	.	.	80992769	80994360	0	1	1591	80992761	ZNF143 related (N=27801)
chr8	121850850	121851329	chr8:121850850-121851329	.	.	121850850	121851329	0	1	479	121850849	ZNF143 related (N=27801)
chr5	32134963	32136849	chr5:32134963-32136849	.	.	32134963	32136849	0	1	1886	32134960	ZNF143 related (N=27801)
chr18	39489014	39490642	chr18:39489014-39490642	.	.	39489014	39490642	0	1	1628	39489011	ZNF143 related (N=27801)
chr6	113076036	113077906	chr6:113076036-113077906	.	.	113076036	113077906	0	1	1870	113076035	ZNF143 related (N=27801)
chr2	164911063	164912109	chr2:164911063-164912109	.	.	164911063	164912109	0	1	1046	164911062	ZNF143 related (N=27801)
chr17	27554821	27557485	chr17:27554821-27557485	.	.	27554821	27557485	0	1	2664	27554819	ZNF143 related (N=27801)
chr8	124896467	124898255	chr8:124896467-124898255	.	.	124896467	124898255	0	1	1788	124896466	ZNF143 related (N=27801)
chr19	53141937	53143381	chr19:53141937-53143381	.	.	53141937	53143381	0	1	1444	53141932	ZNF143 related (N=27801)
chr11	61956596	61957360	chr11:61956596-61957360	.	.	61956596	61957360	0	1	764	61956590	ZNF143 related (N=27801)
chr11	97021459	97022548	chr11:97021459-97022548	.	.	97021459	97022548	0	1	1089	97021450	ZNF143 related (N=27801)
chr18	64887060	64888713	chr18:64887060-64888713	.	.	64887060	64888713	0	1	1653	64887054	ZNF143 related (N=27801)
chr3	65957475	65958624	chr3:65957475-65958624	.	.	65957475	65958624	0	1	1149	65957469	ZNF143 related (N=27801)
chr4	141147654	141148624	chr4:141147654-141148624	.	.	141147654	141148624	0	1	970	141147653	ZNF143 related (N=27801)
chr11	113649017	113649213	chr11:113649017-113649213	.	.	113649017	113649213	0	1	196	113649016	ZNF143 related (N=27801)
chr6	85450982	85451906	chr6:85450982-85451906	.	.	85450982	85451906	0	1	924	85450974	ZNF143 related (N=27801)
chr8	70768430	70768688	chr8:70768430-70768688	.	.	70768430	70768688	0	1	258	70768423	ZNF143 related (N=27801)
chr3	41564615	41566360	chr3:41564615-41566360	.	.	41564615	41566360	0	1	1745	41564611	ZNF143 related (N=27801)
chr5	110769987	110771164	chr5:110769987-110771164	.	.	110769987	110771164	0	1	1177	110769986	ZNF143 related (N=27801)
chr17	30575623	30576794	chr17:30575623-30576794	.	.	30575623	30576794	0	1	1171	30575620	ZNF143 related (N=27801)
chr11	19924112	19925882	chr11:19924112-19925882	.	.	19924112	19925882	0	1	1770	19924111	ZNF143 related (N=27801)
chr13	103919896	103921277	chr13:103919896-103921277	.	.	103919896	103921277	0	1	1381	103919895	ZNF143 related (N=27801)
chr12	102704504	102704836	chr12:102704504-102704836	.	.	102704504	102704836	0	1	332	102704503	ZNF143 related (N=27801)
chr9	25251804	25253506	chr9:25251804-25253506	.	.	25251804	25253506	0	1	1702	25251802	ZNF143 related (N=27801)
chr15	38518196	38519176	chr15:38518196-38519176	.	.	38518196	38519176	0	1	980	38518193	ZNF143 related (N=27801)
chr16	55973663	55974895	chr16:55973663-55974895	.	.	55973663	55974895	0	1	1232	55973658	ZNF143 related (N=27801)
chr9	57261693	57262827	chr9:57261693-57262827	.	.	57261693	57262827	0	1	1134	57261688	ZNF143 related (N=27801)
chr10	94943515	94945466	chr10:94943515-94945466	.	.	94943515	94945466	0	1	1951	94943506	ZNF143 related (N=27801)
chr17	50508707	50510070	chr17:50508707-50510070	.	.	50508707	50510070	0	1	1363	50508702	ZNF143 related (N=27801)
chr17	34030715	34032483	chr17:34030715-34032483	.	.	34030715	34032483	0	1	1768	34030712	ZNF143 related (N=27801)
chr16	18626386	18626889	chr16:18626386-18626889	.	.	18626386	18626889	0	1	503	18626385	ZNF143 related (N=27801)
chr19	43674479	43675997	chr19:43674479-43675997	.	.	43674479	43675997	0	1	1518	43674475	ZNF143 related (N=27801)
chr10	128058397	128059869	chr10:128058397-128059869	.	.	128058397	128059869	0	1	1472	128058396	ZNF143 related (N=27801)
chr13	80885119	80886536	chr13:80885119-80886536	.	.	80885119	80886536	0	1	1417	80885111	ZNF143 related (N=27801)
chr1	30948828	30950220	chr1:30948828-30950220	.	.	30948828	30950220	0	1	1392	30948825	ZNF143 related (N=27801)
chr3	65527757	65529471	chr3:65527757-65529471	.	.	65527757	65529471	0	1	1714	65527751	ZNF143 related (N=27801)
chr7	112023002	112024111	chr7:112023002-112024111	.	.	112023002	112024111	0	1	1109	112023001	ZNF143 related (N=27801)
chr9	44604031	44605364	chr9:44604031-44605364	.	.	44604031	44605364	0	1	1333	44604027	ZNF143 related (N=27801)
chr10	11280548	11281866	chr10:11280548-11281866	.	.	11280548	11281866	0	1	1318	11280547	ZNF143 related (N=27801)
chr8	105565023	105566386	chr8:105565023-105566386	.	.	105565023	105566386	0	1	1363	105565022	ZNF143 related (N=27801)
chr9	80066652	80068049	chr9:80066652-80068049	.	.	80066652	80068049	0	1	1397	80066644	ZNF143 related (N=27801)
chr17	48408970	48410448	chr17:48408970-48410448	.	.	48408970	48410448	0	1	1478	48408966	ZNF143 related (N=27801)
chr10	42274836	42278579	chr10:42274836-42278579	.	.	42274836	42278579	0	1	3743	42274832	ZNF143 related (N=27801)
chr9	75409058	75410567	chr9:75409058-75410567	.	.	75409058	75410567	0	1	1509	75409051	ZNF143 related (N=27801)
chr2	60209487	60210449	chr2:60209487-60210449	.	.	60209487	60210449	0	1	962	60209481	ZNF143 related (N=27801)
chr15	12321132	12322292	chr15:12321132-12322292	.	.	12321132	12322292	0	1	1160	12321131	ZNF143 related (N=27801)
chr1	181210838	181212686	chr1:181210838-181212686	.	.	181210838	181212686	0	1	1848	181210837	ZNF143 related (N=27801)
chr10	117710407	117710948	chr10:117710407-117710948	.	.	117710407	117710948	0	1	541	117710406	ZNF143 related (N=27801)
chr7	16399336	16401526	chr7:16399336-16401526	.	.	16399336	16401526	0	1	2190	16399335	ZNF143 related (N=27801)
chr4	124849789	124851497	chr4:124849789-124851497	.	.	124849789	124851497	0	1	1708	124849788	ZNF143 related (N=27801)
chr17	65612472	65614257	chr17:65612472-65614257	.	.	65612472	65614257	0	1	1785	65612466	ZNF143 related (N=27801)
chr13	47105541	47106749	chr13:47105541-47106749	.	.	47105541	47106749	0	1	1208	47105537	ZNF143 related (N=27801)
chr5	34335733	34337191	chr5:34335733-34337191	.	.	34335733	34337191	0	1	1458	34335730	ZNF143 related (N=27801)
chr12	108178413	108180298	chr12:108178413-108180298	.	.	108178413	108180298	0	1	1885	108178412	ZNF143 related (N=27801)
chr8	84976063	84978993	chr8:84976063-84978993	.	.	84976063	84978993	0	1	2930	84976055	ZNF143 related (N=27801)
chr1	166001711	166003598	chr1:166001711-166003598	.	.	166001711	166003598	0	1	1887	166001710	ZNF143 related (N=27801)
chr19	7417169	7417514	chr19:7417169-7417514	.	.	7417169	7417514	0	1	345	7417162	ZNF143 related (N=27801)
chr13	35740724	35742216	chr13:35740724-35742216	.	.	35740724	35742216	0	1	1492	35740721	ZNF143 related (N=27801)
chr6	86526283	86527353	chr6:86526283-86527353	.	.	86526283	86527353	0	1	1070	86526275	ZNF143 related (N=27801)
chr5	90365302	90366948	chr5:90365302-90366948	.	.	90365302	90366948	0	1	1646	90365293	ZNF143 related (N=27801)
chr6	72898860	72900480	chr6:72898860-72900480	.	.	72898860	72900480	0	1	1620	72898853	ZNF143 related (N=27801)
chr9	100545506	100546381	chr9:100545506-100546381	.	.	100545506	100546381	0	1	875	100545505	ZNF143 related (N=27801)
chr17	46555204	46556441	chr17:46555204-46556441	.	.	46555204	46556441	0	1	1237	46555200	ZNF143 related (N=27801)
chr9	124422592	124426046	chr9:124422592-124426046	.	.	124422592	124426046	0	1	3454	124422591	ZNF143 related (N=27801)
chr12	102705080	102705626	chr12:102705080-102705626	.	.	102705080	102705626	0	1	546	102705079	ZNF143 related (N=27801)
chr13	55209956	55211791	chr13:55209956-55211791	.	.	55209956	55211791	0	1	1835	55209951	ZNF143 related (N=27801)
chr11	69920136	69921333	chr11:69920136-69921333	.	.	69920136	69921333	0	1	1197	69920130	ZNF143 related (N=27801)
chr11	106083827	106085295	chr11:106083827-106085295	.	.	106083827	106085295	0	1	1468	106083826	ZNF143 related (N=27801)
chr10	117709931	117710212	chr10:117709931-117710212	.	.	117709931	117710212	0	1	281	117709930	ZNF143 related (N=27801)
chr11	102437346	102438855	chr11:102437346-102438855	.	.	102437346	102438855	0	1	1509	102437345	ZNF143 related (N=27801)
chr15	98994031	98994231	chr15:98994031-98994231	.	.	98994031	98994231	0	1	200	98994022	ZNF143 related (N=27801)
chr11	59227368	59228785	chr11:59227368-59228785	.	.	59227368	59228785	0	1	1417	59227363	ZNF143 related (N=27801)
chr7	28371565	28373404	chr7:28371565-28373404	.	.	28371565	28373404	0	1	1839	28371563	ZNF143 related (N=27801)
chr3	152209841	152211294	chr3:152209841-152211294	.	.	152209841	152211294	0	1	1453	152209840	ZNF143 related (N=27801)
chr18	36559450	36561436	chr18:36559450-36561436	.	.	36559450	36561436	0	1	1986	36559447	ZNF143 related (N=27801)
chr10	108161597	108163024	chr10:108161597-108163024	.	.	108161597	108163024	0	1	1427	108161596	ZNF143 related (N=27801)
chr15	78876780	78877885	chr15:78876780-78877885	.	.	78876780	78877885	0	1	1105	78876773	ZNF143 related (N=27801)
chr1	178405786	178406711	chr1:178405786-178406711	.	.	178405786	178406711	0	1	925	178405785	ZNF143 related (N=27801)
chr4	134852474	134854392	chr4:134852474-134854392	.	.	134852474	134854392	0	1	1918	134852473	ZNF143 related (N=27801)
chr11	75679059	75680157	chr11:75679059-75680157	.	.	75679059	75680157	0	1	1098	75679052	ZNF143 related (N=27801)
chr3	101603921	101605029	chr3:101603921-101605029	.	.	101603921	101605029	0	1	1108	101603920	ZNF143 related (N=27801)
chr3	84814019	84815804	chr3:84814019-84815804	.	.	84814019	84815804	0	1	1785	84814011	ZNF143 related (N=27801)
chr3	97609268	97609482	chr3:97609268-97609482	.	.	97609268	97609482	0	1	214	97609259	ZNF143 related (N=27801)
chr10	120977911	120979825	chr10:120977911-120979825	.	.	120977911	120979825	0	1	1914	120977910	ZNF143 related (N=27801)
chr15	79545986	79547581	chr15:79545986-79547581	.	.	79545986	79547581	0	1	1595	79545979	ZNF143 related (N=27801)
chr4	133752322	133753962	chr4:133752322-133753962	.	.	133752322	133753962	0	1	1640	133752321	ZNF143 related (N=27801)
chr8	36247900	36249760	chr8:36247900-36249760	.	.	36247900	36249760	0	1	1860	36247897	ZNF143 related (N=27801)
chr1	150392482	150393789	chr1:150392482-150393789	.	.	150392482	150393789	0	1	1307	150392481	ZNF143 related (N=27801)
chr10	59295131	59296727	chr10:59295131-59296727	.	.	59295131	59296727	0	1	1596	59295126	ZNF143 related (N=27801)
chr2	181580826	181582087	chr2:181580826-181582087	.	.	181580826	181582087	0	1	1261	181580825	ZNF143 related (N=27801)
chr1	59912860	59914009	chr1:59912860-59914009	.	.	59912860	59914009	0	1	1149	59912855	ZNF143 related (N=27801)
chr12	69892480	69893403	chr12:69892480-69893403	.	.	69892480	69893403	0	1	923	69892474	ZNF143 related (N=27801)
chr7	122969625	122970748	chr7:122969625-122970748	.	.	122969625	122970748	0	1	1123	122969624	ZNF143 related (N=27801)
chr6	71439788	71441539	chr6:71439788-71441539	.	.	71439788	71441539	0	1	1751	71439781	ZNF143 related (N=27801)
chr17	45572359	45574494	chr17:45572359-45574494	.	.	45572359	45574494	0	1	2135	45572355	ZNF143 related (N=27801)
chr19	21271847	21273092	chr19:21271847-21273092	.	.	21271847	21273092	0	1	1245	21271845	ZNF143 related (N=27801)
chr1	89580092	89581651	chr1:89580092-89581651	.	.	89580092	89581651	0	1	1559	89580084	ZNF143 related (N=27801)
chr11	53350310	53351297	chr11:53350310-53351297	.	.	53350310	53351297	0	1	987	53350305	ZNF143 related (N=27801)
chr9	59485691	59487082	chr9:59485691-59487082	.	.	59485691	59487082	0	1	1391	59485686	ZNF143 related (N=27801)
chr19	6363719	6364765	chr19:6363719-6364765	.	.	6363719	6364765	0	1	1046	6363713	ZNF143 related (N=27801)
chr10	96616383	96618179	chr10:96616383-96618179	.	.	96616383	96618179	0	1	1796	96616374	ZNF143 related (N=27801)
chr6	120036964	120038598	chr6:120036964-120038598	.	.	120036964	120038598	0	1	1634	120036963	ZNF143 related (N=27801)
chr9	115309405	115310957	chr9:115309405-115310957	.	.	115309405	115310957	0	1	1552	115309404	ZNF143 related (N=27801)
chr6	115675309	115676952	chr6:115675309-115676952	.	.	115675309	115676952	0	1	1643	115675308	ZNF143 related (N=27801)
chr17	35000688	35001892	chr17:35000688-35001892	.	.	35000688	35001892	0	1	1204	35000685	ZNF143 related (N=27801)
chr6	85452135	85452525	chr6:85452135-85452525	.	.	85452135	85452525	0	1	390	85452127	ZNF143 related (N=27801)
chr11	93884890	93886546	chr11:93884890-93886546	.	.	93884890	93886546	0	1	1656	93884881	ZNF143 related (N=27801)
chr16	85173356	85174070	chr16:85173356-85174070	.	.	85173356	85174070	0	1	714	85173348	ZNF143 related (N=27801)
chr17	50292631	50293911	chr17:50292631-50293911	.	.	50292631	50293911	0	1	1280	50292626	ZNF143 related (N=27801)
chr1	16104893	16105223	chr1:16104893-16105223	.	.	16104893	16105223	0	1	330	16104892	ZNF143 related (N=27801)
chr16	64850902	64852840	chr16:64850902-64852840	.	.	64850902	64852840	0	1	1938	64850896	ZNF143 related (N=27801)
chr6	113306448	113307992	chr6:113306448-113307992	.	.	113306448	113307992	0	1	1544	113306447	ZNF143 related (N=27801)
chr8	11006732	11007702	chr8:11006732-11007702	.	.	11006732	11007702	0	1	970	11006731	ZNF143 related (N=27801)
chr14	79480662	79482116	chr14:79480662-79482116	.	.	79480662	79482116	0	1	1454	79480655	ZNF143 related (N=27801)
chr19	53389873	53390964	chr19:53389873-53390964	.	.	53389873	53390964	0	1	1091	53389868	ZNF143 related (N=27801)
