NAME	NES_dTAG_DMSO	FDR_dTAG_DMSO	NES_RA+dTAG_RA+DMSO	FDR_RA+dTAG_RA+DMSO
GOBP_SMOOTH_MUSCLE_CONTRACTION	1.754059	0.11129298	1.8422214	0.062026992
GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS	1.7498053	0.11612665	0.7892752	0.93956035
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT	1.749681	0.11236003	0.87083113	0.8717172
GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	1.7468255	0.11438976	1.4617969	0.26176032
GOBP_DIGESTIVE_TRACT_MORPHOGENESIS	1.7463707	0.11168544	0.9503477	0.79093546
GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	1.7389443	0.12331364	0.86487055	0.8762505
GOBP_CELLULAR_RESPONSE_TO_IRON_ION	1.73726	0.12331661	1.6454936	0.1417638
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	1.7360443	0.12222202	1.5635365	0.19148137
GOBP_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	1.7347376	0.12148727	1.1319009	0.56096095
GOBP_DIET_INDUCED_THERMOGENESIS	1.7343041	0.119083606	1.7249175	0.09868667
GOBP_CORTISOL_METABOLIC_PROCESS	1.7342104	0.11608002	1.4224722	0.29040593
GOBP_SODIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	1.7340647	0.11330973	0.9233114	0.82038045
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	1.7328082	0.1127944	1.8998601	0.038143843
GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT	1.7297179	0.11623849	1.2599883	0.43125573
GOBP_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT	1.7291964	0.11453887	0.6865436	0.98367935
GOBP_PHENOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS	1.7282737	0.11361269	1.42602	0.28923562
GOBP_SA_NODE_CELL_TO_ATRIAL_CARDIAC_MUSCLE_CELL_COMMUNICATION	1.7258493	0.1156277	1.5772828	0.17844899
GOBP_MINERALOCORTICOID_METABOLIC_PROCESS	1.7229376	0.11881283	1.266279	0.42502746
GOBP_POSITIVE_REGULATION_OF_OSSIFICATION	1.7219727	0.11799464	1.2789265	0.41445714
GOBP_POSITIVE_REGULATION_OF_NEURON_MATURATION	1.7217417	0.11592512	-1.1264403	0.8464253
GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	1.7181332	0.12063818	1.1867868	0.5036368
GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION	1.7179154	0.118573755	0.95118153	0.78962624
GOBP_INNERVATION	1.7161335	0.11972908	1.4598284	0.26171535
GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	1.7156917	0.11819047	1.5782502	0.17843704
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	1.7117692	0.12387269	1.6470368	0.14046824
GOBP_HYPOTHALAMUS_DEVELOPMENT	1.7117342	0.12154397	-0.86917305	0.9722495
GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION	1.7092488	0.12439296	1.3775676	0.33017516
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	1.7089037	0.12280647	1.679505	0.12611154
GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	1.7082926	0.121756524	0.9088802	0.8359936
GOBP_HORMONE_BIOSYNTHETIC_PROCESS	1.7055982	0.12506981	1.3900243	0.3188717
GOBP_EXOCRINE_SYSTEM_DEVELOPMENT	1.7053223	0.123423465	1.229475	0.46378526
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	1.7051694	0.12158233	-1.181744	0.8278049
GOBP_CHONDROITIN_SULFATE_METABOLIC_PROCESS	1.702811	0.12432837	1.0552661	0.65447456
GOBP_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	1.6998686	0.12825938	-0.9070432	0.9628902
GOBP_REGULATION_OF_OSSIFICATION	1.6992869	0.12733407	1.3534685	0.348518
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	1.6989585	0.12592901	0.7645372	0.954639
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	1.6978599	0.12622203	-0.81990415	0.98192316
GOBP_POSITIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION	1.6972927	0.12534606	1.4503919	0.27010214
GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1.6970239	0.12394361	1.2083938	0.48222104
GOBP_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS	1.6925492	0.13140778	1.4853547	0.2405289
GOBP_EXTRACELLULAR_STRUCTURE_ORGANIZATION	1.6922743	0.13008548	1.7010756	0.11065336
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.6920828	0.12857398	1.4438851	0.2772346
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	1.6917186	0.12747423	1.6230316	0.15371032
GOBP_VENOUS_BLOOD_VESSEL_DEVELOPMENT	1.6916724	0.12575448	1.2109662	0.48135018
GOBP_CARDIAC_MUSCLE_CELL_PROLIFERATION	1.6911428	0.1250259	1.1897752	0.50225294
GOBP_EPITHELIAL_CELL_FATE_COMMITMENT	1.6910297	0.12351272	1.418011	0.29492006
GOBP_HEAT_GENERATION	1.6909032	0.12207406	1.3402954	0.3606512
GOBP_DTMP_CATABOLIC_PROCESS	1.690802	0.12059935	0.90392596	0.8405365
GOBP_ARTERY_DEVELOPMENT	1.6894745	0.121488474	1.3167429	0.38178936
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	1.6894578	0.119925275	1.5298252	0.211998
GOBP_NOREPINEPHRINE_TRANSPORT	1.688778	0.1196872	1.6898453	0.11715127
GOBP_RESPONSE_TO_PAIN	1.6885754	0.11852715	1.3636178	0.34113875
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	1.6877482	0.11853703	1.0682615	0.6388265
GOBP_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	1.6875334	0.117464654	1.4585477	0.2621715
GOBP_REGULATION_OF_ENDOCRINE_PROCESS	1.6827196	0.12538448	1.3994207	0.312934
GOBP_SERTOLI_CELL_DIFFERENTIATION	1.6819185	0.12544502	0.9673739	0.7725679
GOBP_TRANSMISSION_OF_NERVE_IMPULSE	1.6812886	0.12522146	1.7970034	0.07230464
GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	1.6808258	0.12462137	1.156387	0.5366047
GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS	1.6804296	0.12388655	1.7330867	0.09518911
GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	1.6753081	0.13283801	1.1066049	0.59269345
GOBP_FORELIMB_MORPHOGENESIS	1.6732233	0.13571262	1.3949559	0.31405348
GOBP_FEMALE_MEIOSIS_I	1.67232	0.1360442	0.6279344	0.99101
GOBP_OOCYTE_DIFFERENTIATION	1.6699196	0.1396928	1.4930283	0.2407787
GOBP_WHITE_FAT_CELL_DIFFERENTIATION	1.6690127	0.14007477	1.5028695	0.23236054
GOBP_DENSE_CORE_GRANULE_LOCALIZATION	1.6686845	0.13926335	1.542356	0.20614685
GOBP_POSITIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	1.6670035	0.14136568	1.5959493	0.16688658
GOBP_REGULATION_OF_GONAD_DEVELOPMENT	1.6669744	0.13991573	-0.7403468	0.9966717
GOBP_CARDIAC_CHAMBER_FORMATION	1.6666893	0.13900106	1.1691076	0.5234682
GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	1.6665336	0.13791093	1.2270688	0.4661744
GOBP_AXONOGENESIS_INVOLVED_IN_INNERVATION	1.6655118	0.13865538	1.4683614	0.2576732
GOBP_MALE_SEX_DIFFERENTIATION	1.6651257	0.13802475	1.2335995	0.45825905
GOBP_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	1.6613699	0.14459072	1.3664138	0.338786
GOBP_RELAXATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE	1.6613624	0.14315052	1.3056248	0.38847423
GOBP_PATTERN_SPECIFICATION_PROCESS	1.6610664	0.1424144	1.2559845	0.4331412
GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT	1.6606616	0.14189266	1.2182606	0.47565433
GOBP_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS	1.6605703	0.14068584	0.834273	0.9043846
GOBP_RESPONSE_TO_GONADOTROPIN	1.6599997	0.14053729	1.2001921	0.49004912
GOBP_GAS_TRANSPORT	1.6596351	0.139999	1.3345991	0.36423123
GOBP_REGULATION_OF_CILIUM_MOVEMENT	1.6562098	0.14607427	2.114633	0.0007958246
GOBP_CORTISOL_BIOSYNTHETIC_PROCESS	1.6560806	0.14500453	1.41788	0.29490888
GOBP_CARDIAC_RIGHT_VENTRICLE_MORPHOGENESIS	1.65447	0.14716716	1.2655	0.42547095
GOBP_TRABECULA_FORMATION	1.6543736	0.14601207	0.963399	0.77673656
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS	1.6541573	0.1451566	1.2921723	0.40418926
GOBP_EAR_DEVELOPMENT	1.6536754	0.14486559	1.6096497	0.15529273
GOBP_ATRIOVENTRICULAR_CANAL_DEVELOPMENT	1.6513416	0.14849484	1.7480009	0.088895164
GOBP_RELAXATION_OF_SMOOTH_MUSCLE	1.6498836	0.15038225	1.1005859	0.6012141
GOBP_L_ALANINE_TRANSPORT	1.6498376	0.1491573	1.0486218	0.66161615
GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT	1.649208	0.14923069	1.3646208	0.34017673
GOBP_PRIMARY_ALCOHOL_BIOSYNTHETIC_PROCESS	1.6465139	0.15398465	-0.7858333	0.98920065
GOBP_APPENDAGE_DEVELOPMENT	1.643552	0.15940544	1.0355358	0.6815392
GOBP_REGULATION_OF_ALDOSTERONE_METABOLIC_PROCESS	1.643178	0.15886994	1.1124594	0.58441776
GOBP_XENOBIOTIC_CATABOLIC_PROCESS	1.6425122	0.15899883	1.0974581	0.6033817
GOBP_NOREPINEPHRINE_BIOSYNTHETIC_PROCESS	1.6408222	0.16151166	-1.1573461	0.8320567
GOBP_SENSORY_ORGAN_DEVELOPMENT	1.6404281	0.16108884	1.4916562	0.24112023
GOBP_SHORT_TERM_MEMORY	1.6401715	0.16036332	1.169534	0.5232958
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	1.6387129	0.1624151	1.6564736	0.13938971
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	1.6385976	0.16135944	-1.2869955	0.74500525
GOBP_SENSORY_PERCEPTION	1.6383704	0.16057257	1.7517979	0.0886801
GOBP_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION	1.6381577	0.15978213	1.3583301	0.34536162
GOBP_CATECHOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS	1.6365258	0.1623657	1.449184	0.27209494
GOBP_ARTERY_MORPHOGENESIS	1.6348227	0.1650651	1.3395971	0.36096498
GOBP_METANEPHROS_DEVELOPMENT	1.6345053	0.16452166	1.3218275	0.3766595
GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY	1.6324633	0.16813126	1.2690572	0.4213035
GOBP_OOGENESIS	1.6304797	0.17169532	1.3293713	0.3710032
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	1.6291313	0.17369308	1.4628962	0.2607141
GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	1.6287981	0.17317788	1.5279746	0.21260071
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1.6285976	0.172386	1.5710104	0.18479791
GOBP_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	1.6275731	0.17361048	1.5444632	0.20528375
GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION	1.6275256	0.17243081	1.5399395	0.207251
GOBP_MAGNESIUM_ION_HOMEOSTASIS	1.6270279	0.17244951	1.0633799	0.645284
GOBP_PLASMACYTOID_DENDRITIC_CELL_ACTIVATION	1.626724	0.17191218	1.1643462	0.5286316
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1.6262783	0.17177399	1.6114752	0.15416348
GOBP_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	1.6261632	0.17083645	1.2726715	0.4200085
GOBP_MINERALOCORTICOID_BIOSYNTHETIC_PROCESS	1.6256326	0.17084974	0.8348395	0.90400237
GOBP_NEGATIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	1.620786	0.18141873	1.5131967	0.225029
GOBP_REGULATION_OF_TUBE_SIZE	1.6190324	0.18464065	1.7834784	0.07499184
GOBP_CARDIAC_ATRIUM_DEVELOPMENT	1.6189051	0.1836475	1.1023998	0.59856766
GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	1.6184928	0.18342105	1.5526059	0.20003116
GOBP_DIENCEPHALON_DEVELOPMENT	1.616953	0.18611203	1.2517852	0.43689197
GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION_TO_BONE_MARROW	1.6153169	0.18904962	1.2085822	0.48243123
GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION	1.6146524	0.18946397	0.95423234	0.786735
GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	1.6135478	0.19104846	1.0735788	0.63234276
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING	1.6127553	0.19179277	1.1889365	0.5032147
GOBP_DICHOTOMOUS_SUBDIVISION_OF_AN_EPITHELIAL_TERMINAL_UNIT	1.6122628	0.19183096	1.2427883	0.4485767
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_PROCESS	1.6121533	0.1908251	1.4008168	0.3121487
GOBP_SLEEP	1.6116213	0.19095135	1.4054229	0.30913103
GOBP_GENITALIA_DEVELOPMENT	1.6113044	0.1905506	1.2241699	0.47087568
GOBP_REGULATION_OF_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION	1.6111771	0.18960479	1.4722303	0.2545013
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	1.6110563	0.18869969	2.3255532	0.0
GOBP_MAST_CELL_DIFFERENTIATION	1.6106575	0.18850672	1.213222	0.4794786
GOBP_MATURE_B_CELL_DIFFERENTIATION	1.6095176	0.1903537	1.7938229	0.07105335
GOBP_SYNAPTIC_MEMBRANE_ADHESION	1.6070174	0.19557348	1.6775966	0.12693287
GOBP_HYPOTHALAMUS_CELL_MIGRATION	1.6068809	0.1946887	-0.9463787	0.9489347
GOBP_DICARBOXYLIC_ACID_TRANSPORT	1.606825	0.19362317	1.6354265	0.14582191
GOBP_NEURON_RECOGNITION	1.6053637	0.19616708	1.2943796	0.40336964
GOBP_REGULATION_OF_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS	1.6050285	0.19581327	1.2134598	0.4795824
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_MIGRATION	1.6049558	0.19480705	1.2063931	0.48350713
GOBP_DEVELOPMENT_OF_PRIMARY_MALE_SEXUAL_CHARACTERISTICS	1.6040454	0.19603306	1.0624739	0.64589775
GOBP_STEM_CELL_FATE_COMMITMENT	1.6037502	0.19562101	1.1654093	0.52840376
GOBP_INTESTINE_SMOOTH_MUSCLE_CONTRACTION	1.6033512	0.19548033	1.4675955	0.2576428
GOBP_BIOLOGICAL_PHASE	1.6002288	0.20255388	1.6511121	0.14121409
GOBP_NEGATIVE_REGULATION_OF_BONE_REMODELING	1.5997685	0.20251456	1.618226	0.15516864
GOBP_REPLACEMENT_OSSIFICATION	1.5995325	0.20193006	1.2498897	0.4388484
GOBP_REPRODUCTIVE_BEHAVIOR	1.5989625	0.20224032	1.9682275	0.017172199
GOBP_DUCTUS_ARTERIOSUS_CLOSURE	1.597219	0.20579264	0.8073414	0.92628556
GOBP_LOCOMOTORY_BEHAVIOR	1.5963224	0.20705485	1.5609674	0.19384861
GOBP_POSITIVE_REGULATION_OF_HORMONE_SECRETION	1.5958153	0.2072496	1.4558127	0.26482835
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	1.5956197	0.20654559	1.413241	0.29987398
GOBP_INTERLEUKIN_4_PRODUCTION	1.5939009	0.20996618	1.3128922	0.38380265
GOBP_NEUROTRANSMITTER_UPTAKE	1.593759	0.20917307	1.1594422	0.53251404
GOBP_STRIATED_MUSCLE_CELL_PROLIFERATION	1.5930924	0.20979251	1.0793216	0.62459654
GOBP_VASODILATION	1.5923873	0.21053518	1.5990992	0.16414638
GOBP_SENSORY_ORGAN_MORPHOGENESIS	1.5922368	0.20976837	1.4933048	0.24129
GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_IRON_ION_HOMEOSTASIS	1.5908332	0.21239412	1.6265932	0.15034047
GOBP_REGULATION_OF_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	1.5908053	0.21130851	0.5982994	0.9935074
GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE	1.5906465	0.2105707	1.442379	0.2795769
GOBP_SENSORY_PERCEPTION_OF_TASTE	1.5904024	0.21008956	1.8296268	0.062655896
GOBP_UMP_CATABOLIC_PROCESS	1.5900087	0.20999849	0.71701556	0.97356963
GOBP_OUTFLOW_TRACT_MORPHOGENESIS	1.5889958	0.2116242	1.2935407	0.40411913
GOBP_ANATOMICAL_STRUCTURE_MATURATION	1.5889685	0.2105539	1.6210697	0.15233704
GOBP_GAMMA_AMINOBUTYRIC_ACID_IMPORT	1.5888635	0.20969304	1.3582556	0.3449953
GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY	1.5887523	0.20889273	1.2996676	0.3972621
GOBP_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1.588442	0.20861529	1.509863	0.22763905
GOBP_CARBON_DIOXIDE_TRANSPORT	1.5860782	0.21391535	1.2104008	0.48093665
GOBP_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS	1.5860227	0.21294904	1.1111006	0.58676386
GOBP_NEURONAL_ACTION_POTENTIAL_PROPAGATION	1.5850648	0.2144763	1.13112	0.561624
GOBP_CARDIAC_MYOFIBRIL_ASSEMBLY	1.5847359	0.2142826	0.9650886	0.7748476
GOBP_SKELETAL_SYSTEM_MORPHOGENESIS	1.5845872	0.21359122	1.208925	0.48250067
GOBP_CELLULAR_RESPONSE_TO_NICOTINE	1.5840402	0.21399805	0.943359	0.79888755
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	1.5838344	0.21350025	1.2374554	0.45427564
GOBP_CARDIAC_SEPTUM_MORPHOGENESIS	1.5835607	0.21316974	1.1708661	0.5224234
GOBP_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT	1.582826	0.21411219	1.7907794	0.07104317
GOBP_TRABECULA_MORPHOGENESIS	1.5826867	0.21339871	1.0869884	0.61581326
GOBP_REGULATION_OF_CELL_MATURATION	1.5823133	0.21337448	-0.86414194	0.97335947
GOBP_REGULATION_OF_MUSCLE_CONTRACTION	1.5816225	0.21417922	1.5300741	0.2123042
GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.5801356	0.21714707	1.087359	0.6155104
GOBP_SODIUM_ION_HOMEOSTASIS	1.5793289	0.21830659	1.4938564	0.24085693
GOBP_OOCYTE_CONSTRUCTION	1.5792878	0.21735899	1.3753965	0.33233428
GOBP_APPENDAGE_MORPHOGENESIS	1.5789193	0.21728657	0.91486675	0.8293045
GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT	1.5787531	0.21668705	0.77203757	0.95065016
GOBP_ACUTE_PHASE_RESPONSE	1.5783324	0.21675724	1.4370872	0.2828356
GOBP_EMBRYONIC_VISCEROCRANIUM_MORPHOGENESIS	1.577936	0.21680652	1.2917204	0.4042839
GOBP_REGULATION_OF_REPRODUCTIVE_PROCESS	1.5775675	0.21677034	1.4149797	0.29775614
GOBP_SPLEEN_DEVELOPMENT	1.5773644	0.2163063	-0.9402916	0.94993347
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1.5756996	0.21982054	1.889537	0.043644197
GOBP_SYNAPTIC_TRANSMISSION_GABAERGIC	1.5753317	0.21981798	1.175314	0.51737773
GOBP_CGMP_METABOLIC_PROCESS	1.575239	0.21902764	1.5540756	0.19803543
GOBP_SODIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	1.5740571	0.2212388	1.3179754	0.38091487
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	1.5726895	0.22398189	1.7427452	0.09211324
GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS	1.572587	0.22323662	1.4999624	0.23429555
GOBP_EAR_MORPHOGENESIS	1.5725068	0.2224431	1.550466	0.20079504
GOBP_INNER_EAR_RECEPTOR_CELL_FATE_COMMITMENT	1.5723605	0.22181892	1.2615538	0.42986423
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	1.5719068	0.2220261	1.3555058	0.34622884
GOBP_REGULATION_OF_FEVER_GENERATION	1.5717378	0.22147775	1.1387718	0.55174536
GOBP_ATRIAL_SEPTUM_MORPHOGENESIS	1.5710831	0.22228727	0.90921384	0.83569324
GOBP_PIRNA_PROCESSING	1.5709903	0.22155327	1.5611788	0.19387203
GOBP_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	1.5707234	0.22129291	-0.82669103	0.98491234
GOBP_PROTEIN_POLY_ADP_RIBOSYLATION	1.5704434	0.22108203	0.5489024	0.9988406
GOBP_FEVER_GENERATION	1.569282	0.22322707	1.1396856	0.551168
GOBP_FEMALE_GAMETE_GENERATION	1.5692399	0.22236305	1.2475808	0.4424805
GOBP_REGULATION_OF_CORTISOL_BIOSYNTHETIC_PROCESS	1.5691254	0.22169822	1.1219137	0.57142943
GOBP_PITUITARY_GLAND_DEVELOPMENT	1.5682931	0.22302543	1.2177148	0.47629166
GOBP_DENDRITIC_CELL_DIFFERENTIATION	1.5682853	0.22207828	1.4040804	0.31037048
GOBP_RESPONSE_TO_ESTROGEN	1.5682533	0.22119641	1.3065451	0.3885348
GOBP_INTRACELLULAR_TRIGLYCERIDE_HOMEOSTASIS	1.5680408	0.22082432	0.9136268	0.8292812
GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.5677831	0.2205699	0.9371984	0.8051713
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	1.5676011	0.22009291	0.8370997	0.9035297
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	1.5674638	0.21952046	1.527436	0.21250524
GOBP_REGULATION_OF_KETONE_BIOSYNTHETIC_PROCESS	1.5671142	0.2195072	0.58100647	0.99531454
GOBP_CILIUM_MOVEMENT	1.566444	0.22041577	2.3474267	0.0
GOBP_GENITALIA_MORPHOGENESIS	1.5663654	0.21969487	1.249777	0.43866184
GOBP_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE	1.5663621	0.218779	-0.95354044	0.94969434
GOBP_ATRIOVENTRICULAR_NODE_DEVELOPMENT	1.5661664	0.2183867	0.5373777	0.99957174
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	1.564137	0.22298162	1.4314309	0.28618568
GOBP_OLIGODENDROCYTE_APOPTOTIC_PROCESS	1.5636668	0.22331198	-1.1989754	0.81000185
GOBP_CARDIAC_SEPTUM_DEVELOPMENT	1.5635749	0.22262807	1.0721385	0.63386446
