NAME	NES_RA_DMSO	FDR_RA_DMSO	NES_RA_dTAG	FDR_RA_dTAG
REACTOME_REGULATION_OF_INSULIN_SECRETION	1.4544541	0.25113273	1.6591612	0.04464385
REACTOME_LGI_ADAM_INTERACTIONS	1.4514129	0.2563117	1.4377484	0.2756421
REACTOME_RAS_PROCESSING	1.4464968	0.26658693	1.6176661	0.06544467
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	1.4387995	0.28515026	1.540838	0.12235184
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	1.4378902	0.2846619	1.6030108	0.07369926
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	1.4364581	0.28577837	1.5470293	0.12121455
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	1.4363477	0.28307402	1.468271	0.2258245
REACTOME_CGMP_EFFECTS	1.4353774	0.2829237	1.392614	0.31953907
REACTOME_P2Y_RECEPTORS	1.431577	0.29078805	1.3205516	0.43328267
REACTOME_OPIOID_SIGNALLING	1.4295788	0.2935957	1.5256659	0.14571165
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	1.4266803	0.2990912	1.4072634	0.30769804
REACTOME_SMOOTH_MUSCLE_CONTRACTION	1.4262893	0.29725003	1.0440681	0.7995812
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	1.4210811	0.30945724	1.3877393	0.33093795
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	1.4158475	0.3222691	1.4703155	0.22328839
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	1.4112194	0.33337125	1.4864985	0.19826272
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	1.4111024	0.33052593	1.4343934	0.27170256
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	1.4077193	0.3379518	1.4971133	0.18235883
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS	1.4050826	0.34301165	1.108325	0.7380595
REACTOME_VLDL_ASSEMBLY	1.4022175	0.3488386	1.3575671	0.3682081
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	1.395896	0.36593637	1.6245717	0.064341605
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS	1.3947154	0.36652792	1.4503509	0.2527044
REACTOME_DEVELOPMENTAL_BIOLOGY	1.3940556	0.3653746	1.3967377	0.31996498
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX	1.3905435	0.373668	1.4856945	0.1977746
REACTOME_BIOSYNTHESIS_OF_E_SERIES_18_S_RESOLVINS	1.3888148	0.37610784	1.3673635	0.35132426
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING	1.3834951	0.39079028	1.7270342	0.02052814
REACTOME_SIGNALING_BY_MST1	1.3823868	0.39104533	1.3238991	0.42991063
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	1.3812766	0.3914036	1.2283045	0.5523803
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	1.3798494	0.39294305	1.4081981	0.30761945
REACTOME_LAMININ_INTERACTIONS	1.3781073	0.39550483	1.2803414	0.48072156
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS	1.3726727	0.41092575	1.3836467	0.3330317
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	1.371806	0.4104754	1.0976346	0.74399537
REACTOME_ION_HOMEOSTASIS	1.371033	0.40971696	1.3966473	0.31778675
REACTOME_MET_RECEPTOR_ACTIVATION	1.3702577	0.40897512	1.4066987	0.30679616
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	1.3698016	0.407185	1.3351636	0.4044239
REACTOME_CELL_JUNCTION_ORGANIZATION	1.3697603	0.40400824	1.3803368	0.33084488
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	1.3641	0.4203307	1.3588902	0.36898223
REACTOME_ARACHIDONIC_ACID_METABOLISM	1.3639591	0.41746396	1.5183603	0.15712498
REACTOME_ACTIVATION_OF_SMO	1.3581994	0.43436533	1.2954369	0.46517465
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS	1.3516804	0.45428088	1.1414313	0.6804817
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	1.3478076	0.46491164	1.3115612	0.44969627
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	1.3447304	0.47265595	1.5010242	0.17645782
REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS	1.3431369	0.47479457	1.4423649	0.26597345
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	1.3411051	0.4786335	1.4282088	0.28049508
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1.339256	0.48189393	1.2940071	0.46502355
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING	1.3379833	0.48301816	1.292521	0.46745738
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	1.3364725	0.48503837	1.1569077	0.6655462
REACTOME_OAS_ANTIVIRAL_RESPONSE	1.3356615	0.4844571	1.1856074	0.61513436
REACTOME_CA2_PATHWAY	1.3334407	0.48913234	1.4347078	0.27339566
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	1.3333012	0.4860904	1.2894878	0.47012857
REACTOME_CHYLOMICRON_ASSEMBLY	1.3330536	0.48346043	1.3986121	0.3171748
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS	1.3323227	0.48264492	1.280226	0.4788186
REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS	1.3314775	0.4823084	1.4230878	0.2819007
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	1.3302712	0.48332542	1.4021771	0.30968595
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	1.3287514	0.4854705	1.0372077	0.8035995
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1.3257028	0.49329597	1.3772621	0.33256656
REACTOME_XENOBIOTICS	1.3255118	0.49060664	1.5428059	0.12634689
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	1.3233428	0.49525923	1.3453767	0.39271674
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	1.3231871	0.4924344	1.1368095	0.68866545
REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION	1.3218511	0.493966	0.9001818	0.95094943
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE	1.3201476	0.4968618	1.2079318	0.5848273
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	1.318904	0.49804002	1.452235	0.2505651
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY	1.3187997	0.49510646	1.4371296	0.27202722
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	1.313051	0.51305014	1.216671	0.56563246
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	1.3129501	0.5100451	1.3781191	0.33246177
REACTOME_LIGAND_RECEPTOR_INTERACTIONS	1.311826	0.5109022	1.1972661	0.59511554
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	1.3111352	0.510142	1.5077996	0.167098
REACTOME_BIOSYNTHESIS_OF_MARESINS	1.3108963	0.5077257	1.2764397	0.48623648
REACTOME_BIOLOGICAL_OXIDATIONS	1.3078026	0.5158811	1.157973	0.6665101
REACTOME_SYNTHESIS_OF_LIPOXINS_LX	1.3061522	0.5186614	1.3220078	0.43353766
REACTOME_HISTIDINE_CATABOLISM	1.305007	0.51962763	1.2193754	0.559259
REACTOME_ALPHA_DEFENSINS	1.3046942	0.5174955	1.2259108	0.5535572
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	1.3024259	0.52266806	1.4021826	0.31210655
REACTOME_PHASE_3_RAPID_REPOLARISATION	1.3008733	0.5250349	1.5125557	0.16195181
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	1.2999097	0.5253875	1.4426444	0.2678614
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	1.2994543	0.5238463	1.2608137	0.50435525
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS	1.2990303	0.5222055	1.3587512	0.36701748
REACTOME_DEFENSINS	1.2958523	0.53071725	1.1534534	0.6701307
REACTOME_ARMS_MEDIATED_ACTIVATION	1.2927979	0.5388393	1.2826679	0.48023587
REACTOME_HS_GAG_DEGRADATION	1.2925433	0.5365434	1.302766	0.46334386
REACTOME_NEUROTRANSMITTER_CLEARANCE	1.2916926	0.5365408	1.2345177	0.5435257
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K	1.2902917	0.5385774	1.3418324	0.39379483
REACTOME_SYNTHESIS_OF_KETONE_BODIES	1.2874503	0.5458699	1.0288907	0.8155148
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	1.2862626	0.547029	1.343964	0.39453065
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	1.2859901	0.5448304	1.1161326	0.72422504
REACTOME_PARACETAMOL_ADME	1.2842864	0.54804593	1.2526295	0.5125876
REACTOME_HEMOSTASIS	1.2826093	0.55113727	1.2991567	0.46280318
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX	1.282065	0.55000275	1.0321021	0.81028086
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	1.2819587	0.5472638	1.1507468	0.6722688
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	1.2816085	0.5454374	1.4058526	0.30671492
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	1.2808768	0.5450624	1.3430113	0.39504713
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	1.2786145	0.5503174	1.1774322	0.63691306
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	1.2751526	0.5600122	1.0467428	0.79770035
REACTOME_GLYCOGEN_METABOLISM	1.2720839	0.56843793	1.1900879	0.6050875
REACTOME_DOPAMINE_RECEPTORS	1.2720515	0.5654489	1.261094	0.5056863
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	1.2713658	0.56487864	1.0967237	0.74265915
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	1.2706358	0.5644774	1.0185515	0.8289573
REACTOME_PHYSIOLOGICAL_FACTORS	1.2693312	0.56623477	1.4029596	0.31235546
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	1.2673331	0.5704092	1.2909924	0.46995923
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY	1.2673291	0.5673725	1.1856415	0.6171744
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	1.2659482	0.5694267	1.3390582	0.39494875
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	1.2655605	0.5678608	1.5043683	0.17172216
REACTOME_KETONE_BODY_METABOLISM	1.2652462	0.5660401	1.0176549	0.82759476
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT	1.2645307	0.5657288	1.1733214	0.63489604
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	1.2622567	0.5710212	1.4187962	0.28609613
REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS	1.2621329	0.56853664	1.3652444	0.3528112
REACTOME_THE_FATTY_ACID_CYCLING_MODEL	1.2585045	0.57884914	0.66837204	1.0
REACTOME_CA2_ACTIVATED_K_CHANNELS	1.2585027	0.5758864	1.3111026	0.44871917
REACTOME_SPHINGOLIPID_METABOLISM	1.2578635	0.575288	1.2597088	0.5056276
REACTOME_GLYCOGEN_SYNTHESIS	1.2573524	0.57423687	1.3557084	0.37136406
REACTOME_MET_PROMOTES_CELL_MOTILITY	1.2510841	0.59414166	1.3020469	0.45836958
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	1.25095	0.59163386	1.315672	0.44141176
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	1.2483536	0.59813774	1.3824656	0.33169302
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	1.2478737	0.59692866	1.0519371	0.7884653
REACTOME_INOSITOL_PHOSPHATE_METABOLISM	1.246568	0.5986937	1.2960207	0.46810734
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	1.2443101	0.60396826	1.2811011	0.4806449
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS	1.2431226	0.60538346	1.1067352	0.73882866
REACTOME_SODIUM_CALCIUM_EXCHANGERS	1.2425925	0.60434115	1.2302637	0.5483129
REACTOME_VLDL_CLEARANCE	1.241938	0.60378355	1.220021	0.56368905
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	1.2408901	0.6046487	1.0631634	0.7771928
REACTOME_MITOCHONDRIAL_UNCOUPLING	1.2391232	0.6082223	0.8426455	0.99794114
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	1.2388372	0.60635704	1.2141569	0.5714841
REACTOME_NICOTINAMIDE_SALVAGING	1.2379618	0.6066576	1.5993654	0.0763495
REACTOME_MISCELLANEOUS_SUBSTRATES	1.2370485	0.60708284	1.1918217	0.6038749
REACTOME_CDC42_GTPASE_CYCLE	1.2366012	0.605816	1.4755449	0.21587794
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	1.236456	0.6035047	1.3807772	0.3319067
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	1.2360812	0.60202605	1.2814306	0.48185414
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS	1.2350717	0.60285974	1.4257588	0.284641
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	1.2317413	0.6119193	1.3719497	0.3429819
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	1.2300706	0.6150673	1.266883	0.49619862
REACTOME_ION_CHANNEL_TRANSPORT	1.2296206	0.6139018	1.4193192	0.28708732
REACTOME_REGULATION_OF_CDH11_EXPRESSION_AND_FUNCTION	1.2292205	0.61252594	1.1387033	0.686958
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	1.2284651	0.6124261	1.342082	0.3954399
REACTOME_LIPID_PARTICLE_ORGANIZATION	1.2205817	0.6381564	1.1491332	0.6709557
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	1.2197186	0.6384096	0.9547066	0.8996316
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	1.2180864	0.641448	1.0495759	0.7914274
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1.2176918	0.640007	1.3170226	0.43957865
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	1.2175337	0.6377403	0.9800287	0.87061256
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT	1.2139751	0.6476921	1.236513	0.53939146
REACTOME_NUCLEOTIDE_CATABOLISM	1.2139513	0.6449253	0.8569088	0.9835945
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX	1.213075	0.64524573	1.1740018	0.6392398
REACTOME_CYP2E1_REACTIONS	1.2126597	0.64393824	1.3808182	0.33409852
REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS	1.2126496	0.6411773	1.0609175	0.7818092
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL	1.2107719	0.6451422	1.3695645	0.34735465
REACTOME_METAL_ION_SLC_TRANSPORTERS	1.210335	0.6439023	1.2828436	0.48201653
REACTOME_PI3K_AKT_ACTIVATION	1.2084155	0.6479405	1.0927271	0.74464333
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION	1.2073845	0.6488228	1.1620681	0.6622299
REACTOME_GPER1_SIGNALING	1.2058166	0.6516269	1.0926968	0.74269164
REACTOME_SYNTHESIS_OF_PI	1.2052703	0.65078413	1.3653784	0.3547237
REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION	1.2052253	0.64819443	1.4085957	0.30905172
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	1.2037272	0.6507323	1.1047992	0.7363776
REACTOME_HEME_SIGNALING	1.203661	0.64824796	1.1754099	0.6412433
REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS	1.2032853	0.6469147	1.3873595	0.32961658
REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL	1.2027752	0.64602333	1.091513	0.74423563
REACTOME_SIGNALING_BY_ERYTHROPOIETIN	1.2012143	0.64874935	1.2487628	0.5204617
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	1.200566	0.6483652	1.2261181	0.5550664
